Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion
26.07.2017;10,95;11,15;11,15;10,8;240,73K;-1,35%
25.07.2017;11,1;11,3;11,3;10,9;414,60K;-1,33%
24.07.2017;11,25;11,15;11,35;10,95;635,39K;0,45%
21.07.2017;11,2;11,05;11,25;10,9;425,51K;0,90%
20.07.2017;11,1;11,2;11,25;10,9;584,52K;1,37%
19.07.2017;10,95;10,5;11,25;10,5;939,39K;4,29%
18.07.2017;10,5;10,9;10,95;10,45;383,55K;-3,67%
17.07.2017;10,9;11;11,1;10,85;258,00K;-2,68%
14.07.2017;11,2;11,2;11,4;11;219,11K;0,00%
13.07.2017;11,2;11,5;11,5;11,1;245,23K;-2,61%
12.07.2017;11,5;11,3;11,5;11,1;637,35K;1,77%
11.07.2017;11,3;11,3;11,45;11;647,44K;0,00%
10.07.2017;11,3;11,4;11,6;11,05;550,59K;-0,88%
07.07.2017;11,4;11,4;11,45;10,85;903,63K;0,44%
06.07.2017;11,35;11,4;11,65;11,25;1,11M;0,00%
05.07.2017;11,35;11,15;11,45;11,15;1,21M;1,79%
04.07.2017;11,15;10,9;11,2;10,65;1,36M;3,24%
03.07.2017;10,8;10,7;10,9;10,7;384,74K;2,37%
30.06.2017;10,55;10,7;10,8;10,45;334,86K;-0,47%
29.06.2017;10,6;10,5;10,65;10,45;371,87K;-0,47%
28.06.2017;10,65;10,7;10,7;10,5;341,88K;-0,47%
27.06.2017;10,7;10,8;10,9;10,45;411,65K;0,47%
26.06.2017;10,65;10,75;10,75;10,6;352,53K;-0,93%
23.06.2017;10,75;10,9;10,95;10,5;366,93K;0,00%
22.06.2017;10,75;10,15;10,8;10,15;856,91K;3,37%
21.06.2017;10,4;10;10,5;10;676,19K;-3,70%
19.06.2017;10,8;10,75;11;10,65;362,81K;0,47%
16.06.2017;10,75;10,75;10,9;10,7;243,03K;0,47%
15.06.2017;10,7;11;11;10,7;463,81K;-2,73%
14.06.2017;11;11;11,2;10,85;357,70K;-0,90%
13.06.2017;11,1;11;11,2;10,9;260,97K;0,91%
12.06.2017;11;11,05;11,2;10,65;449,34K;-1,79%
09.06.2017;11,2;11,2;11,25;11;302,09K;-1,32%
08.06.2017;11,35;11,6;11,6;11,25;221,02K;-2,16%
07.06.2017;11,6;11,45;11,75;11,35;955,40K;0,87%
06.06.2017;11,5;11,15;11,5;11,05;921,37K;1,32%
05.06.2017;11,35;11,5;11,5;11,05;889,68K;-1,30%
02.06.2017;11,5;11,4;11,55;11,3;383,05K;-0,43%
01.06.2017;11,55;11,6;11,75;11,4;734,63K;-0,43%
31.05.2017;11,6;11,3;11,65;11,15;1,46M;1,75%
30.05.2017;11,4;11,2;11,4;11,15;729,45K;2,24%
29.05.2017;11,15;10,95;11,25;10,7;1,07M;2,29%
26.05.2017;10,9;10,65;11,05;10,4;876,89K;2,35%
24.05.2017;10,65;10,6;10,7;10,45;344,95K;0,47%
23.05.2017;10,6;10,55;10,7;10,45;332,06K;0,47%
22.05.2017;10,55;10,35;10,6;10,3;635,62K;1,93%
19.05.2017;10,35;10,4;10,6;10,25;607,71K;0,98%
18.05.2017;10,25;10,45;10,45;10,15;924,30K;-3,76%
17.05.2017;10,65;10,9;10,9;10,5;778,75K;0,00%
16.05.2017;10,65;10,8;11;10,55;789,37K;-1,39%
15.05.2017;10,8;10,8;10,95;10,75;392,81K;0,00%
12.05.2017;10,8;11,15;11,15;10,8;573,54K;-3,14%
11.05.2017;11,15;11,3;11,3;11,05;406,20K;-1,33%
10.05.2017;11,3;11,05;11,4;10,9;519,85K;1,80%
09.05.2017;11,1;11,05;11,25;11;280,48K;-0,45%
08.05.2017;11,15;11,3;11,4;11,15;218,42K;-1,33%
05.05.2017;11,3;11,4;11,4;11;283,79K;-1,31%
04.05.2017;11,45;11,4;11,6;11,1;625,76K;0,00%
03.05.2017;11,45;11,6;11,6;11,35;375,93K;-1,29%
02.05.2017;11,6;11,5;11,7;11,5;415,92K;0,99%
28.04.2017;11,486;11,436;11,785;11,286;961,09K;0,00%
27.04.2017;11,486;11,536;11,536;11,286;736,09K;-0,43%
26.04.2017;11,536;11,436;11,635;11,336;1,10M;0,87%
