Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion
29.06.2017;99,45;97,2;99,8;95,05;34,60K;1,79%
28.06.2017;97,7;98;98;97;18,58K;0,00%
27.06.2017;97,7;97;99;96,45;50,38K;1,56%
26.06.2017;96,2;94,35;98;94,35;25,31K;2,12%
23.06.2017;94,2;91;94,4;91;26,40K;1,56%
22.06.2017;92,75;90;92,75;89,85;25,39K;2,49%
21.06.2017;90,5;88;90,5;86,5;137,80K;-2,69%
19.06.2017;93;90,25;94;90,25;51,17K;3,45%
16.06.2017;89,9;88;90;88;29,84K;1,07%
15.06.2017;88,95;87,9;89;87;16,72K;-0,06%
14.06.2017;89;89,95;89,95;87,85;35,66K;-1,11%
13.06.2017;90;88,2;90;87;24,68K;0,84%
12.06.2017;89,25;91,5;91,5;87,5;58,39K;-1,92%
09.06.2017;91;91,6;93,6;89;39,40K;-0,55%
08.06.2017;91,5;91,5;91,6;90;38,75K;0,55%
07.06.2017;91;91;91,6;89;33,40K;0,00%
06.06.2017;91;89;91;88;32,69K;0,00%
05.06.2017;91;93,6;93,6;90,9;32,10K;-2,83%
02.06.2017;93,65;91,75;94;91,75;45,90K;0,70%
01.06.2017;93;93,5;93,75;92;31,17K;0,00%
31.05.2017;93;93,1;93,5;92;35,62K;0,00%
30.05.2017;93;93;93;91,5;47,33K;0,54%
29.05.2017;92,5;92,5;93,5;92;75,40K;0,54%
26.05.2017;92;89;93;88,1;124,51K;3,43%
24.05.2017;88,95;88,2;89,85;88,2;30,47K;0,85%
23.05.2017;88,2;88,9;88,9;87;32,08K;-0,79%
22.05.2017;88,9;88,9;89;86,7;19,88K;0,00%
19.05.2017;88,9;88;89,6;87;39,27K;1,02%
18.05.2017;88;85,9;88;82,7;73,07K;0,51%
17.05.2017;87,55;85,4;87,95;85,35;56,89K;3,00%
16.05.2017;85;83,5;85;82,7;26,88K;1,80%
15.05.2017;83,5;83,7;84;83,2;32,29K;-0,12%
12.05.2017;83,6;82;84,25;81,75;45,71K;1,95%
11.05.2017;82;84,8;85,9;81;56,05K;-3,19%
10.05.2017;84,7;87;87,5;84,1;39,44K;-1,63%
09.05.2017;86,1;86,65;86,65;85;18,22K;-0,69%
08.05.2017;86,7;88,8;89,45;84;50,21K;-2,47%
05.05.2017;88,9;88;91,4;87,9;75,55K;1,37%
04.05.2017;87,7;84;87,7;83,9;61,52K;4,65%
03.05.2017;83,8;81,85;84,4;80,5;108,77K;2,32%
02.05.2017;81,9;80,85;81,9;78,55;50,79K;-0,43%
28.04.2017;82,25;81;82,45;79,05;37,94K;1,54%
27.04.2017;81;80;81,5;78,6;82,70K;0,62%
26.04.2017;80,5;81,95;82;79,8;128,77K;-1,59%
25.04.2017;81,8;81,5;83;80,5;136,93K;0,37%
24.04.2017;81,5;82;83,1;81;65,23K;0,37%
21.04.2017;81,2;82,7;83,5;80,8;31,43K;-1,75%
20.04.2017;82,65;84,25;84,5;82,1;14,17K;-1,61%
19.04.2017;84;85;86;83,75;33,14K;-0,53%
18.04.2017;84,45;82,7;84,45;82,7;94,94K;2,12%
17.04.2017;82,7;81,4;85;81,4;44,12K;1,72%
12.04.2017;81,3;80,8;82,35;79,8;29,48K;0,68%
11.04.2017;80,75;79,6;80,75;78,8;55,28K;1,64%
10.04.2017;79,45;79;80,5;78,4;46,26K;-1,43%
07.04.2017;80,6;82;82,95;79;61,39K;-1,35%
06.04.2017;81,7;84;84;80,5;47,69K;-2,62%
05.04.2017;83,9;87;87,6;83,05;69,04K;-3,01%
04.04.2017;86,5;84,5;86,5;82,5;152,48K;2,37%
03.04.2017;84,5;84,4;84,5;80;161,31K;0,12%
31.03.2017;84,4;83;84,5;82,9;209,47K;1,69%
30.03.2017;83;80,7;83;79;195,87K;2,98%
