Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion
21.06.2017;22,15;21,2;22,15;21,2;418,61K;-3,70%
19.06.2017;23;23;23,7;22,5;200,87K;0,00%
16.06.2017;23;22,4;23,2;22,3;434,35K;3,14%
15.06.2017;22,3;21,85;22,3;21,8;174,24K;1,36%
14.06.2017;22;22,65;23,1;22;271,00K;-2,87%
13.06.2017;22,65;21,95;22,9;21,95;206,12K;3,66%
12.06.2017;21,85;22,5;22,9;21,65;329,75K;-2,46%
09.06.2017;22,4;23;23,5;22,25;236,28K;-3,66%
08.06.2017;23,25;23,75;23,75;23,25;99,64K;-2,72%
07.06.2017;23,9;23,7;24,5;23,25;274,38K;-0,42%
06.06.2017;24;24,25;24,35;23,5;84,78K;-1,44%
05.06.2017;24,35;24,85;24,85;24;238,57K;-1,81%
02.06.2017;24,8;24,9;24,95;24,5;451,72K;0,81%
01.06.2017;24,6;24,5;24,8;24,5;1,07M;0,41%
31.05.2017;24,5;24,35;24,6;24,25;490,02K;1,66%
30.05.2017;24,1;24,7;24,7;24,1;797,87K;-0,41%
29.05.2017;24,2;23,5;24,45;23,5;752,36K;4,76%
26.05.2017;23,1;22,6;23,3;22,5;621,47K;3,13%
24.05.2017;22,4;22,1;22,6;21,9;236,36K;1,36%
23.05.2017;22,1;22,6;22,9;22;193,55K;-1,34%
22.05.2017;22,4;22,5;22,7;22,05;219,44K;0,45%
19.05.2017;22,3;22,75;23;22,25;290,35K;0,22%
18.05.2017;22,25;22,4;22,6;21,5;424,64K;-2,41%
17.05.2017;22,8;23,25;23,25;22,6;475,26K;-1,94%
16.05.2017;23,25;23,75;23,75;22,85;525,31K;-2,11%
15.05.2017;23,75;24;24,2;23,6;139,00K;-1,66%
12.05.2017;24,15;24,35;24,65;24;173,86K;-0,62%
11.05.2017;24,3;24,85;24,85;24;101,00K;-0,41%
10.05.2017;24,4;24,3;25;24,2;467,10K;0,41%
09.05.2017;24,3;24,65;25,1;23,5;373,68K;0,00%
08.05.2017;24,3;24,1;24,45;23,75;902,31K;2,32%
05.05.2017;23,75;23,4;24;23,4;224,86K;1,06%
04.05.2017;23,5;23,95;24;22,6;286,12K;-0,42%
03.05.2017;23,6;23,5;24;23,5;156,54K;0,43%
02.05.2017;23,5;24,2;24,25;23,3;162,72K;-2,49%
28.04.2017;24,1;24,05;24,5;23,8;75,20K;-0,21%
27.04.2017;24,15;24,05;24,3;23,5;125,52K;-1,02%
26.04.2017;24,4;24,35;24,5;24,05;124,46K;0,21%
25.04.2017;24,35;24,5;25,1;24,05;221,50K;-0,61%
24.04.2017;24,5;24,75;25,15;24,4;382,55K;1,03%
21.04.2017;24,25;24,25;24,95;24;261,55K;-1,62%
20.04.2017;24,65;24,6;24,95;24,4;106,63K;0,20%
19.04.2017;24,6;25,5;25,6;24,2;234,15K;-1,40%
18.04.2017;24,95;24,15;25,1;24,15;462,82K;3,53%
17.04.2017;24,1;24,4;25;24,05;252,46K;-1,63%
12.04.2017;24,5;25,3;25,3;24,4;252,29K;-2,78%
11.04.2017;25,2;25,6;25,7;24,75;251,49K;-1,56%
10.04.2017;25,6;25,75;26,35;25,35;253,95K;-0,39%
07.04.2017;25,7;25,7;25,75;25,15;288,84K;0,00%
06.04.2017;25,7;26;26;25;169,59K;-0,96%
05.04.2017;25,95;26,5;26,85;25,95;93,55K;-2,08%
04.04.2017;26,5;26,5;26,7;26,2;166,30K;0,95%
03.04.2017;26,25;26;26,4;25,9;475,25K;2,54%
31.03.2017;25,6;24,8;25,6;24,65;651,86K;4,07%
30.03.2017;24,6;24,1;25,7;24;442,52K;2,07%
29.03.2017;24,1;24,4;24,75;23,8;460,06K;-1,23%
28.03.2017;24,4;24,65;25;24,2;220,05K;-1,01%
27.03.2017;24,65;25;25,3;24,6;97,54K;-1,20%
23.03.2017;24,95;24,75;25;24,6;350,59K;1,01%
22.03.2017;24,7;24,8;25;24,3;382,16K;-0,40%
21.03.2017;24,8;25,1;25,1;24,05;403,09K;-0,80%
20.03.2017;25;25,45;25,6;24,05;329,90K;-1,77%
17.03.2017;25,45;25,8;26;25,3;337,66K;-1,17%
16.03.2017;25,75;26;26,5;25,35;298,83K;-0,96%
15.03.2017;26;25,9;26,1;25,2;790,54K;0,78%
14.03.2017;25,8;26,2;26,2;25,2;142,30K;-0,39%
13.03.2017;25,9;26,8;26,8;25,1;181,47K;-0,38%
10.03.2017;26;27;27;25,7;127,76K;-0,76%
09.03.2017;26,2;27,2;27,35;25,8;302,18K;-3,50%
08.03.2017;27,15;27,2;27,4;26,8;144,97K;0,37%
07.03.2017;27,05;27;27,7;26,8;973,37K;1,50%
06.03.2017;26,65;26,15;26,85;25,5;396,99K;1,91%
03.03.2017;26,15;25;26,2;23,85;302,48K;5,02%
02.03.2017;24,9;25,75;25,75;24,7;369,90K;-3,68%
01.03.2017;25,85;26,3;26,4;25,55;593,35K;-1,71%
24.02.2017;26,3;27,45;27,45;25,8;229,25K;-4,19%
23.02.2017;27,45;27,4;27,5;26,25;344,41K;0,55%
22.02.2017;27,3;26,75;27,5;26,35;277,95K;2,25%
21.02.2017;26,7;27,25;27,25;26;195,22K;0,00%
20.02.2017;26,7;26;26,7;25,3;268,35K;2,69%
17.02.2017;26;26;26,6;25,75;115,11K;0,00%
16.02.2017;26;26;26,15;25;339,82K;-0,57%
15.02.2017;26,15;26,45;26,45;26;181,78K;-1,13%
14.02.2017;26,45;26,8;26,85;26;233,33K;-1,49%
13.02.2017;26,85;26,9;27;26,5;118,60K;-0,19%
10.02.2017;26,9;26,5;26,9;26,25;205,59K;2,28%
09.02.2017;26,3;25,2;26,9;25,2;291,10K;-0,94%
08.02.2017;26,55;27,1;27,1;26,1;139,70K;-2,03%
07.02.2017;27,1;27,7;27,7;26,9;136,11K;-1,45%
06.02.2017;27,5;27,2;27,5;26,9;485,68K;1,85%
03.02.2017;27;27,55;28,5;27;577,36K;0,45%
02.02.2017;26,88;26,25;27;26,25;672,33K;3,38%
01.02.2017;26;24,88;26,25;24,62;688,37K;4,50%
31.01.2017;24,88;24,38;25;24,25;321,69K;2,05%
30.01.2017;24,38;24,49;24,49;23,88;178,57K;-0,45%
27.01.2017;24,49;24,25;24,5;24;178,43K;0,99%
26.01.2017;24,25;24,56;24,56;24,25;155,40K;-1,46%
25.01.2017;24,61;24,5;24,61;24,02;66,99K;0,45%
24.01.2017;24,5;24,5;24,88;24,12;198,16K;0,04%
23.01.2017;24,49;24,12;24,49;23,88;148,98K;0,99%
20.01.2017;24,25;24,12;24,37;22,63;174,66K;0,54%
19.01.2017;24,12;23,75;24,36;23,75;63,38K;-1,07%
18.01.2017;24,38;24,56;24,62;24,24;183,02K;-0,49%
17.01.2017;24,5;24,75;24,75;24,25;151,03K;-1,01%
16.01.2017;24,75;24,75;25;24,64;99,45K;0,00%
13.01.2017;24,75;24,16;24,93;24,12;317,72K;2,61%
12.01.2017;24,12;24,12;24,18;23,75;53,80K;0,00%
11.01.2017;24,12;24,39;24,62;23,88;175,38K;-1,11%
10.01.2017;24,39;24,25;24,62;23,44;239,79K;1,25%
09.01.2017;24,09;24,44;24,44;23,96;189,49K;-1,19%
06.01.2017;24,38;24,24;24,44;24,12;304,34K;1,08%
05.01.2017;24,12;24,12;24,5;23,62;686,58K;0,00%
04.01.2017;24,12;23,99;24,34;23,75;545,51K;1,56%
03.01.2017;23,75;23,5;23,88;23,5;189,17K;1,58%
02.01.2017;23,38;22,75;23,5;22,62;124,20K;2,77%
29.12.2016;22,75;22,88;22,88;22,62;231,35K;0,57%
28.12.2016;22,62;22,27;23,06;22,27;175,86K;1,57%
27.12.2016;22,27;21,88;22,5;21,88;116,76K;1,23%
26.12.2016;22;22,31;22,38;21,94;23,62K;-1,39%
23.12.2016;22,31;22,25;22,5;22;55,76K;0,27%
22.12.2016;22,25;21,88;22,38;21,69;217,14K;2,02%
21.12.2016;21,81;21,44;21,88;21,25;163,34K;2,01%
20.12.2016;21,38;21,75;22;21;42,05K;-1,66%
19.12.2016;21,74;22,11;22,11;21,25;519,72K;-1,67%
16.12.2016;22,11;22,12;22,38;22,02;35,34K;0,50%
15.12.2016;22;21,82;22;21,69;291,46K;0,87%
14.12.2016;21,81;21,62;21,81;21,5;325,88K;1,44%
13.12.2016;21,5;21,12;21,56;21,06;175,27K;1,18%
12.12.2016;21,25;21,38;21,38;21,2;106,12K;-0,28%
07.12.2016;21,31;20,5;21,38;20,5;100,50K;1,38%
06.12.2016;21,02;20,75;21,62;20,75;109,14K;0,67%
05.12.2016;20,88;21,19;21,38;20,81;91,55K;-1,46%
