Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion
26.07.2017;31;31,4;31,7;30,75;189,35K;-2,21%
25.07.2017;31,7;31,35;32;30,55;256,92K;0,96%
24.07.2017;31,4;31,5;32;31;249,83K;-0,63%
21.07.2017;31,6;31,1;31,8;31,1;107,62K;0,80%
20.07.2017;31,35;31,3;31,6;31,3;172,06K;0,16%
19.07.2017;31,3;31,5;32,05;31,05;216,04K;0,97%
18.07.2017;31;32;32;30,6;451,47K;-2,82%
17.07.2017;31,9;32,35;32,35;31,35;452,03K;-1,54%
14.07.2017;32,4;32,55;33;32,1;175,96K;-0,31%
13.07.2017;32,5;33;33,1;32,4;208,82K;-0,91%
12.07.2017;32,8;32,25;33,1;32,2;504,82K;2,82%
11.07.2017;31,9;31,25;31,95;31,25;234,00K;2,08%
10.07.2017;31,25;31,4;31,8;31;152,20K;-1,11%
07.07.2017;31,6;31,8;31,8;31,1;99,33K;-0,63%
06.07.2017;31,8;32,5;32,6;31,5;179,85K;-2,30%
05.07.2017;32,55;32,5;32,6;31,9;184,56K;1,09%
04.07.2017;32,2;32,15;32,45;32;81,46K;0,31%
03.07.2017;32,1;32,2;32,3;31,8;172,04K;-0,31%
30.06.2017;32,2;31;32,3;30,8;397,42K;4,72%
29.06.2017;30,75;31;31,2;30,45;119,38K;-0,97%
28.06.2017;31,05;30,35;31,15;30,2;164,40K;1,80%
27.06.2017;30,5;31,1;31,35;30,35;244,27K;-1,61%
26.06.2017;31;30;31;29,6;485,29K;3,33%
23.06.2017;30;29,95;30,1;29,7;615,63K;0,67%
22.06.2017;29,8;29,3;29,95;29,3;453,87K;1,88%
21.06.2017;29,25;28,8;29,7;28,7;1,45M;-3,47%
19.06.2017;30,3;31;31;30,25;405,57K;0,50%
16.06.2017;30,15;29,8;30,15;29,7;275,58K;1,52%
15.06.2017;29,7;30;30;29,35;283,17K;-1,00%
14.06.2017;30;30,4;30,7;29,6;393,63K;-1,15%
13.06.2017;30,35;30,25;30,5;30,15;240,70K;0,66%
12.06.2017;30,15;30;30,45;29,5;729,38K;-0,33%
09.06.2017;30,25;30,7;31,2;29,95;428,85K;-1,14%
08.06.2017;30,6;31,5;31,7;30,6;244,42K;-2,86%
07.06.2017;31,5;31,5;31,8;31,3;156,31K;0,00%
06.06.2017;31,5;31,2;32;31;217,62K;-1,56%
05.06.2017;32;32;32,2;31,1;351,05K;-0,93%
02.06.2017;32,3;32,55;32,55;31,8;218,01K;0,16%
01.06.2017;32,25;32,5;32,95;32,2;435,26K;-1,23%
31.05.2017;32,65;32,95;33;32,35;137,61K;-0,76%
30.05.2017;32,9;32,55;33;32,4;263,04K;1,08%
29.05.2017;32,55;32,95;32,95;32,45;439,15K;-1,21%
26.05.2017;32,95;34,4;34,4;32,8;347,75K;-1,05%
24.05.2017;33,3;33,2;33,9;33;196,82K;-0,60%
23.05.2017;33,5;33,5;33,6;33,05;146,20K;0,60%
22.05.2017;33,3;33,9;33,95;33,2;204,11K;-1,48%
19.05.2017;33,8;33;34;33;497,63K;2,58%
18.05.2017;32,95;31,6;32,95;31,6;842,22K;-1,93%
17.05.2017;33,6;34,4;34,4;33,5;236,88K;-2,47%
16.05.2017;34,45;34,15;34,45;33,3;234,06K;0,88%
15.05.2017;34,15;34,2;34,4;33,8;289,75K;0,74%
12.05.2017;33,9;34;34,3;33,8;340,81K;0,00%
11.05.2017;33,9;33,8;34;33,35;480,29K;0,15%
10.05.2017;33,85;33,2;33,85;33;545,03K;2,27%
09.05.2017;33,1;32,7;33,15;32,7;371,48K;1,38%
08.05.2017;32,65;32,25;32,65;31,95;353,18K;0,46%
05.05.2017;32,5;32,4;32,6;32;217,36K;0,31%
04.05.2017;32,4;33;33;32;193,67K;-0,15%
03.05.2017;32,45;32,5;32,85;31,9;475,96K;0,00%
02.05.2017;32,45;32,45;32,7;31,7;376,37K;-0,15%
28.04.2017;32,5;31,9;32,5;31,5;209,35K;1,88%
27.04.2017;31,9;32,1;32,2;31,15;263,99K;-1,39%
26.04.2017;32,35;32,95;32,95;32,25;225,56K;-1,52%
25.04.2017;32,85;33;33;32,15;287,07K;0,15%
24.04.2017;32,8;32,25;32,95;32,25;247,41K;1,55%
21.04.2017;32,3;32,7;32,7;32;519,44K;-1,22%
20.04.2017;32,7;32,95;33,2;32,25;433,14K;0,31%
19.04.2017;32,6;31,6;32,7;31,55;754,08K;3,33%
18.04.2017;31,55;31,6;31,65;31,2;205,45K;-0,79%
17.04.2017;31,8;31,4;32;31,4;336,66K;1,27%
12.04.2017;31,4;32;32;31,2;174,23K;-2,64%
