Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion
26.07.2017;66,9;67;67,2;66;298,51K;-0,22%
25.07.2017;67,05;66;67,4;66;286,30K;0,52%
24.07.2017;66,7;67,35;68;65;388,11K;-0,97%
21.07.2017;67,35;66,55;67,8;66,55;565,15K;1,28%
20.07.2017;66,5;67,7;67,7;66;253,39K;-0,15%
19.07.2017;66,6;65,25;67;65,25;620,26K;3,10%
18.07.2017;64,6;67,5;67,5;64,55;641,00K;-4,30%
17.07.2017;67,5;68;68,8;67;625,00K;-1,53%
14.07.2017;68,55;71,1;71,1;67,95;673,12K;-3,65%
13.07.2017;71,15;72;72,15;70,05;435,16K;-1,45%
12.07.2017;72,2;71,45;73;71,05;344,53K;0,98%
11.07.2017;71,5;71,7;71,9;71;381,39K;-0,28%
10.07.2017;71,7;71,05;72,1;71;614,01K;1,49%
07.07.2017;70,65;71,25;72;66,3;341,73K;-0,84%
06.07.2017;71,25;72,5;73,9;71;1,02M;-0,97%
05.07.2017;71,95;72,85;73,35;71,8;499,53K;-1,24%
04.07.2017;72,85;73;73,3;72,3;190,48K;1,18%
03.07.2017;72;71,05;73,45;71,05;465,08K;1,48%
30.06.2017;70,95;70;71,15;70;601,50K;2,38%
29.06.2017;69,3;69,4;70,3;68;477,76K;0,00%
28.06.2017;69,3;67,3;69,3;67,3;1,13M;3,20%
27.06.2017;67,15;66,95;67,6;66,5;702,52K;0,30%
26.06.2017;66,95;66,05;67,6;66,05;424,26K;1,44%
23.06.2017;66;66,8;67;65,3;363,21K;-1,20%
22.06.2017;66,8;66;67,5;65,95;685,17K;1,75%
21.06.2017;65,65;65,5;66,1;65;2,99M;-6,48%
19.06.2017;70,2;69,05;71;68,9;765,56K;3,08%
16.06.2017;68,1;67,1;68,35;67,1;706,17K;1,57%
15.06.2017;67,05;67;67,75;66,5;791,24K;0,68%
14.06.2017;66,6;67,95;67,95;66,55;580,80K;-0,75%
13.06.2017;67,1;67;68,4;66,5;398,37K;0,15%
12.06.2017;67;67,5;68,3;66,55;529,42K;-1,69%
09.06.2017;68,15;70,5;70,95;68,05;511,34K;-3,33%
08.06.2017;70,5;72,95;74,75;69,2;651,49K;-3,36%
07.06.2017;72,95;73,8;73,95;72,9;345,18K;-0,95%
06.06.2017;73,65;69,1;75,5;69,1;576,41K;-1,73%
05.06.2017;74,95;74,95;75,75;74,2;426,71K;1,01%
02.06.2017;74,2;73,45;74,2;73,4;499,22K;1,09%
01.06.2017;73,4;71,95;73,4;71,95;596,98K;2,02%
31.05.2017;71,95;72,45;72,6;71,3;437,41K;0,07%
30.05.2017;71,9;72;72;70,6;403,40K;0,21%
29.05.2017;71,75;72;73,2;71;447,15K;0,21%
26.05.2017;71,6;70,4;71,9;70,4;871,66K;4,75%
24.05.2017;68,35;68,25;69,2;67;360,78K;0,22%
23.05.2017;68,2;68,65;68,7;66,95;270,75K;-0,66%
22.05.2017;68,65;68,45;68,8;67,4;171,19K;0,37%
19.05.2017;68,4;67;68,8;67;549,33K;2,40%
18.05.2017;66,8;67,2;67,2;65,9;527,57K;-1,40%
17.05.2017;67,75;68;69;67,5;616,20K;-0,66%
16.05.2017;68,2;66,3;68,25;66,3;1,02M;3,02%
15.05.2017;66,2;65,25;66,8;64,9;640,91K;2,16%
12.05.2017;64,8;65,6;65,6;64,5;557,32K;-1,37%
11.05.2017;65,7;66;67;65,5;379,42K;-0,30%
10.05.2017;65,9;65;66;64,9;272,87K;1,38%
09.05.2017;65;65;65,1;64,4;286,50K;0,00%
08.05.2017;65;63,7;65;63,5;383,70K;2,04%
05.05.2017;63,7;64;64,3;63;479,46K;1,11%
04.05.2017;63;64,75;64,75;62,8;552,61K;-0,65%
03.05.2017;63,415;61,621;63,615;61,322;599,35K;3,25%
02.05.2017;61,421;60,923;61,82;60,823;268,03K;1,19%
28.04.2017;60,7;61,4;61,4;60,3;271,27K;-1,14%
27.04.2017;61,4;60,45;61,5;60,2;278,91K;1,66%
26.04.2017;60,4;61,3;61,3;60,4;284,81K;-0,90%
25.04.2017;60,95;61,85;61,85;60,3;315,75K;-1,38%
24.04.2017;61,8;61,4;62,15;60,85;692,15K;1,90%
21.04.2017;60,65;60,8;61,2;59,75;555,46K;0,75%
20.04.2017;60,2;60,2;60,8;60;415,03K;0,17%
19.04.2017;60,1;60;60,7;59,8;626,83K;1,18%
18.04.2017;59,4;59,7;59,9;59;611,07K;-0,25%
17.04.2017;59,55;59,35;60,1;59,25;654,11K;0,59%
12.04.2017;59,2;60;60;58,85;347,80K;-0,75%
11.04.2017;59,65;59,5;60;59,5;375,93K;0,25%
10.04.2017;59,5;60,65;60,8;59,45;650,77K;-2,06%
07.04.2017;60,75;61,1;61,75;60,4;270,99K;-0,57%
06.04.2017;61,1;61,5;62;61;232,83K;-0,65%
05.04.2017;61,5;61,35;61,75;60,9;413,56K;0,33%
04.04.2017;61,3;60,65;61,55;60,65;492,17K;1,16%
03.04.2017;60,6;59,6;61,2;59,6;612,07K;2,89%
31.03.2017;58,9;59;59,4;58,2;367,76K;-0,84%
30.03.2017;59,4;59,3;59,6;58,15;268,49K;0,34%
29.03.2017;59,2;59,5;59,5;58,2;590,03K;-0,50%
28.03.2017;59,5;59,6;59,7;58,5;449,42K;-0,25%
27.03.2017;59,65;60,05;60,9;58,5;2,55M;2,05%
23.03.2017;58,45;57,55;58,75;57,55;1,13M;1,92%
22.03.2017;57,35;56;57,5;56;603,21K;2,23%
21.03.2017;56,1;56,3;56,45;56;1,02M;-0,27%
20.03.2017;56,25;55,2;56,25;55,2;411,29K;3,40%
17.03.2017;54,4;55,1;55,35;54,4;359,28K;-1,27%
16.03.2017;55,1;54,5;55,2;54,5;385,74K;1,10%
15.03.2017;54,5;54;54,8;53,05;417,43K;1,58%
14.03.2017;53,65;52,95;54,4;52,95;470,54K;-0,65%
13.03.2017;54;52;54;52;396,97K;3,65%
10.03.2017;52,1;51,05;52,1;51,05;392,55K;2,06%
09.03.2017;51,05;51,6;52,1;51;390,04K;-0,97%
08.03.2017;51,55;51,2;51,8;51;189,94K;0,68%
07.03.2017;51,2;51,05;51,4;50,85;425,09K;0,29%
06.03.2017;51,05;53;53;50,9;263,59K;-2,39%
03.03.2017;52,3;50;52,3;49,05;376,78K;4,60%
02.03.2017;50;51,5;51,5;50;288,44K;-2,34%
01.03.2017;51,2;50,5;51,5;49,5;446,52K;0,99%
24.02.2017;50,7;52;52;50,3;505,65K;-2,69%
23.02.2017;52,1;54,5;55;52;303,00K;-3,79%
22.02.2017;54,15;54,2;54,4;53,3;258,24K;-0,09%
21.02.2017;54,2;54,2;55;53,75;449,91K;-0,37%
20.02.2017;54,4;53,8;54,5;53,5;245,94K;0,37%
17.02.2017;54,2;53,1;54,2;52,6;755,62K;2,07%
16.02.2017;53,1;54,9;55;52,55;480,04K;-2,39%
15.02.2017;54,4;53,5;54,8;53,3;488,43K;1,68%
14.02.2017;53,5;53,75;54,1;53;571,95K;-0,65%
13.02.2017;53,85;54,95;55,5;53,6;1,12M;-2,00%
10.02.2017;54,95;55;55,35;54,5;644,46K;0,09%
09.02.2017;54,9;53,45;55;53,4;1,16M;2,71%
08.02.2017;53,45;52;53,6;51,8;1,26M;3,38%
07.02.2017;51,7;51,2;52,35;51,1;948,95K;1,37%
06.02.2017;51;50,5;51,1;50;312,52K;0,89%
03.02.2017;50,55;50;50,95;50;451,17K;1,10%
02.02.2017;50;50;50,15;49,45;305,91K;0,50%
01.02.2017;49,75;49,5;50,25;49,45;385,00K;0,61%
31.01.2017;49,45;49,25;49,85;49;434,06K;0,51%
30.01.2017;49,2;49;49,6;48,25;642,19K;-0,81%
27.01.2017;49,6;50,2;50,8;49;652,14K;-1,39%
26.01.2017;50,3;51,8;52,2;50,2;816,22K;-2,90%
25.01.2017;51,8;52;52,75;50,9;864,72K;-1,80%
24.01.2017;52,75;52,95;54,2;52,5;1,28M;-0,09%
23.01.2017;52,8;51,6;52,85;51;691,23K;2,33%
20.01.2017;51,6;50;51,7;50;1,00M;2,58%
19.01.2017;50,3;50,6;50,8;49,6;840,55K;-0,59%
18.01.2017;50,6;50,2;50,85;49,95;1,06M;1,00%
17.01.2017;50,1;49,95;50,25;49,4;693,56K;0,10%
16.01.2017;50,05;49,7;50,2;49,25;273,50K;0,91%
13.01.2017;49,6;49,15;50,05;48,3;637,24K;0,92%
12.01.2017;49,15;48,2;49,15;48;1,01M;1,87%
11.01.2017;48,25;48,85;49,2;47,1;1,72M;-1,13%
10.01.2017;48,8;47,35;48,9;46,9;1,69M;3,17%
09.01.2017;47,3;46,95;47,35;46,6;676,03K;1,18%
06.01.2017;46,75;45,9;47;45,6;832,57K;2,75%
05.01.2017;45,5;45,8;45,8;44,5;968,95K;1,00%
04.01.2017;45,05;45;46;44,5;1,17M;0,45%
03.01.2017;44,85;44,7;45,15;44,2;916,67K;0,56%
02.01.2017;44,6;42,8;44,7;42,8;567,67K;4,45%
29.12.2016;42,7;41,8;42,95;41,4;931,48K;3,26%
28.12.2016;41,35;40,5;41,55;40,3;534,96K;3,37%
27.12.2016;40;39,8;40,1;38,7;760,80K;0,88%
26.12.2016;39,65;39,65;39,7;39;240,47K;0,13%
23.12.2016;39,6;39,35;40;38,8;517,01K;0,64%
22.12.2016;39,35;39,9;40,5;39,1;545,11K;-1,38%
21.12.2016;39,9;37,55;39,9;37,55;1,05M;6,26%
20.12.2016;37,55;38;38,3;37,3;813,02K;-1,18%
19.12.2016;38;40;40;37,55;803,60K;-3,80%
16.12.2016;39,5;41;41;39;633,38K;-1,25%
15.12.2016;40;41,15;41,2;39,8;525,12K;-2,91%
14.12.2016;41,2;41,5;41,7;41;597,75K;0,61%
