Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion
26.07.2017;77;75;77,75;74,8;15,22K;2,67%
25.07.2017;75;75,3;75,3;72,4;72,80K;-0,33%
24.07.2017;75,25;78;78,4;75,25;46,71K;-4,63%
21.07.2017;78,9;80;81;77,5;26,41K;-1,62%
20.07.2017;80,2;83;83;80;15,47K;-1,60%
19.07.2017;81,5;78,75;81,5;78,75;12,96K;3,62%
18.07.2017;78,65;78,1;78,95;75,5;45,56K;0,77%
17.07.2017;78,05;84;84;77,5;54,47K;-6,47%
14.07.2017;83,45;81;83,9;81;29,02K;2,08%
13.07.2017;81,75;83;83,35;81,5;30,77K;-1,39%
12.07.2017;82,9;82,25;83,9;82,25;61,15K;1,10%
11.07.2017;82;82,95;83,9;81,75;30,95K;-2,32%
10.07.2017;83,95;83,9;84;81,6;52,82K;-0,24%
07.07.2017;84,15;86;86;84;34,98K;-3,94%
06.07.2017;87,6;89,3;89,3;86,65;29,43K;-1,79%
05.07.2017;89,2;88,8;89,25;87,8;56,10K;0,22%
04.07.2017;89;89,5;89,5;88;20,22K;-0,67%
03.07.2017;89,6;90;90,5;88,7;29,54K;0,79%
30.06.2017;88,9;87,4;88,9;87,4;54,27K;1,25%
29.06.2017;87,8;88;88,1;87,2;22,14K;-0,23%
28.06.2017;88;87,2;88,3;86,5;49,78K;1,32%
27.06.2017;86,85;87,55;88;86,3;24,75K;-0,80%
26.06.2017;87,55;88;88,95;86;20,73K;-0,51%
23.06.2017;88;87,4;88,85;87,3;34,79K;0,69%
22.06.2017;87,4;87,5;89,5;85,6;61,92K;0,11%
21.06.2017;87,3;82;87,3;81;91,85K;-1,30%
19.06.2017;88,45;87;89;86,75;17,77K;1,67%
16.06.2017;87;85,9;87;83,5;33,18K;1,40%
15.06.2017;85,8;85;86;83,75;19,43K;0,65%
14.06.2017;85,25;84,35;89,7;84,35;15,47K;1,01%
13.06.2017;84,4;84,9;85;83,5;28,87K;-0,71%
12.06.2017;85;85,7;86,7;84,5;53,40K;-2,13%
09.06.2017;86,85;89;89,5;86,5;37,40K;-3,98%
08.06.2017;90,45;93,3;93,3;89;25,49K;-3,21%
07.06.2017;93,45;94,5;94,5;92;42,96K;-0,05%
06.06.2017;93,5;92,05;94,25;92;57,74K;-1,06%
05.06.2017;94,5;95,45;95,45;93;24,20K;-1,00%
02.06.2017;95,45;95;95,5;94;42,69K;0,47%
01.06.2017;95;93;95;92,1;113,32K;3,94%
31.05.2017;91,4;88;91,5;87,5;120,38K;4,76%
30.05.2017;87,25;88;89;86;40,50K;-0,80%
29.05.2017;87,95;88;88,3;87,05;53,06K;-1,07%
26.05.2017;88,9;89;89,5;86,1;99,10K;-0,11%
24.05.2017;89;91;91,5;88;79,56K;-1,87%
23.05.2017;90,7;93,4;93,5;90,55;18,89K;-2,89%
22.05.2017;93,4;93,5;93,75;91;24,48K;1,19%
19.05.2017;92,3;90,3;93;90,3;45,98K;2,33%
18.05.2017;90,2;91;91,3;87;43,02K;-3,48%
17.05.2017;93,45;94;94;92;14,70K;-0,59%
16.05.2017;94;93,7;95,25;93,5;37,75K;-0,53%
15.05.2017;94,5;95;96;92;81,01K;0,59%
12.05.2017;93,95;94,7;96,55;92;70,74K;0,21%
11.05.2017;93,75;91;94,7;91;144,81K;3,94%
10.05.2017;90,2;89;90,5;87,7;109,47K;2,50%
09.05.2017;88;87,8;89;87,8;41,61K;0,92%
08.05.2017;87,2;88,4;89,45;87;20,72K;-0,91%
05.05.2017;88;84;89,4;83,7;88,58K;4,76%
04.05.2017;84;84,1;85,5;83,7;38,51K;-0,12%
03.05.2017;84,1;84,7;85;82,5;22,02K;-0,71%
02.05.2017;84,7;85,5;85,7;82,5;24,80K;-0,65%
28.04.2017;85,25;86,2;87,25;85;50,27K;-1,10%
27.04.2017;86,2;88,75;90,2;86;70,92K;-2,87%
26.04.2017;88,75;91,5;91,9;88;70,06K;-1,11%
25.04.2017;89,75;89,1;90,9;88,25;77,42K;1,99%
24.04.2017;88;84,5;88;84,5;95,44K;4,89%
21.04.2017;83,9;81,8;83,9;80,5;40,10K;3,58%
20.04.2017;81;81;82;80,5;15,73K;0,00%
19.04.2017;81;84;84;81;31,22K;-2,17%
18.04.2017;82,8;82;84;82;12,62K;-0,18%
17.04.2017;82,95;83;84,2;81,4;23,31K;-1,07%
12.04.2017;83,85;84,3;84,75;83;15,94K;-1,35%
11.04.2017;85;84;85;82,7;37,61K;1,80%
10.04.2017;83,5;83,85;84;82,6;39,95K;-0,36%
07.04.2017;83,8;83,45;84,15;83,45;30,65K;0,42%
06.04.2017;83,45;84,3;84,9;83,25;28,80K;-1,01%
05.04.2017;84,3;86,4;87,3;84,3;39,72K;-2,43%
04.04.2017;86,4;87,5;88,75;86;28,76K;-1,26%
03.04.2017;87,5;84,8;88,7;84,8;80,77K;3,43%
31.03.2017;84,6;82,1;84,6;82,1;47,81K;3,05%
30.03.2017;82,1;82,7;82,7;81,5;36,49K;-0,73%
29.03.2017;82,7;84;84,75;82,7;19,34K;-1,55%
28.03.2017;84;82;84,3;80,5;50,94K;2,31%
27.03.2017;82,1;82;82,6;82;47,62K;0,12%
23.03.2017;82;82;82,5;77;41,12K;0,61%
22.03.2017;81,5;81,9;82,75;81;13,89K;-0,49%
21.03.2017;81,9;82,3;83;81,5;25,11K;-0,49%
20.03.2017;82,3;82,5;83;81,1;35,75K;-0,18%
17.03.2017;82,45;83,6;84,8;82;45,90K;-0,66%
16.03.2017;83;84;85;82;37,21K;-0,95%
15.03.2017;83,8;82,5;84,4;82;26,06K;0,48%
14.03.2017;83,4;83,95;84;81,9;16,06K;-0,66%
13.03.2017;83,95;81,5;84,5;81,5;23,30K;3,01%
10.03.2017;81,5;81,7;83;80,5;33,68K;-0,49%
09.03.2017;81,9;84;85;80,5;27,70K;-2,15%
08.03.2017;83,7;83,5;84;80;66,88K;-1,53%
07.03.2017;85;86;86,9;83,55;38,13K;-1,16%
06.03.2017;86;86;87;85,25;24,99K;-0,81%
03.03.2017;86,7;86,9;86,9;86,3;16,22K;0,81%
02.03.2017;86;85,5;86,6;85,4;18,99K;-0,12%
01.03.2017;86,1;84,45;86,45;84,45;25,87K;1,95%
24.02.2017;84,45;84,5;85;84;37,18K;-2,65%
23.02.2017;86,75;89,5;90;85,5;28,07K;-2,53%
22.02.2017;89;91,5;91,5;89;32,14K;-2,73%
21.02.2017;91,5;91;93;91;61,68K;1,72%
20.02.2017;89,95;86,35;90;86,3;183,09K;4,23%
17.02.2017;86,3;86,5;86,5;85,5;11,67K;0,06%
16.02.2017;86,25;86,1;86,75;86,1;31,29K;0,29%
15.02.2017;86;86;86,5;85;47,11K;0,58%
14.02.2017;85,5;87;87;85,3;30,21K;-0,58%
13.02.2017;86;85,9;87;85,3;54,00K;1,18%
10.02.2017;85;85;85,25;84;35,06K;0,00%
09.02.2017;85;85;85;84,6;10,74K;0,83%
08.02.2017;84,3;85,8;85,9;84;23,30K;-1,40%
07.02.2017;85,5;86,4;86,5;85,2;26,17K;-1,04%
06.02.2017;86,4;87,5;87,5;85;27,18K;0,00%
03.02.2017;86,4;88;88,5;85,5;31,21K;-0,75%
02.02.2017;87,05;85,2;87,05;85,2;42,64K;1,22%
01.02.2017;86;86,35;89;85,95;56,20K;0,23%
31.01.2017;85,8;83,25;86,5;81;94,19K;4,95%
30.01.2017;81,75;82;82;80,5;22,25K;-0,30%
27.01.2017;82;83;84;81,5;26,61K;0,00%
26.01.2017;82;83,3;84;81,7;44,91K;-1,15%
25.01.2017;82,95;84,5;84,5;82,4;34,08K;-1,19%
24.01.2017;83,95;86,8;86,9;83;38,26K;-2,27%
23.01.2017;85,9;85;85,9;83,85;68,77K;1,36%
20.01.2017;84,75;82;85;80;86,11K;4,05%
19.01.2017;81,45;84;85;80;59,79K;-3,04%
18.01.2017;84;86,1;86,2;83,2;61,51K;-2,33%
17.01.2017;86;86,55;87,5;86;30,52K;-0,58%
16.01.2017;86,5;87;87;85,5;20,86K;0,17%
13.01.2017;86,35;87,1;87,5;86;99,54K;-1,31%
12.01.2017;87,5;90;90;87;96,82K;-1,46%
11.01.2017;88,8;90,8;91,55;87,8;79,12K;-1,33%
10.01.2017;90;89,25;90,5;88,7;178,65K;3,45%
09.01.2017;87;84,75;87,5;83,1;48,69K;2,65%
06.01.2017;84,75;84,8;85,9;83,8;56,92K;1,25%
05.01.2017;83,7;85;85,5;83,45;79,24K;-1,41%
04.01.2017;84,9;83,85;84,9;82,75;60,39K;1,07%
03.01.2017;84;85;87;82,5;70,64K;-1,00%
02.01.2017;84,85;84,55;87;84,4;100,80K;0,41%
29.12.2016;84,5;84;86,7;82;107,86K;0,78%
28.12.2016;83,85;78,5;84,7;78,5;83,33K;8,90%
27.12.2016;77;73,9;78,5;73;122,00K;7,24%
26.12.2016;71,8;74,5;74,5;71,5;17,41K;-2,51%
23.12.2016;73,65;74,8;75;73,5;49,82K;0,20%
22.12.2016;73,5;75;75;73,25;95,27K;-0,41%
21.12.2016;73,8;74,5;75;72,2;41,64K;5,43%
20.12.2016;70;69,8;72;69;34,11K;0,29%
19.12.2016;69,8;72;72,5;69,8;24,81K;-2,10%
16.12.2016;71,3;71,5;71,5;68,5;27,13K;0,14%
15.12.2016;71,2;73;73;70;37,65K;-3,13%
14.12.2016;73,5;75;75;73,2;10,75K;-2,00%
13.12.2016;75;75;76,1;74;10,60K;-1,57%
12.12.2016;76,2;78;78,1;75,5;8,61K;-2,31%
07.12.2016;78;76;80;76;18,28K;0,26%
06.12.2016;77,8;75,95;77,8;74,05;12,33K;2,44%
05.12.2016;75,95;75,8;76,5;74;5,97K;-0,07%
02.12.2016;76;76,85;76,85;75;10,82K;-0,85%
01.12.2016;76,65;78;78;75,7;10,06K;-0,45%
30.11.2016;77;75;77,9;75;70,61K;4,19%
29.11.2016;73,9;75;75;73,2;12,70K;-1,40%
25.11.2016;74,95;75;75,5;74,5;4,93K;-1,64%
24.11.2016;76,2;76,3;76,3;72;16,63K;1,13%
23.11.2016;75,35;75,6;76,5;75;32,11K;-0,33%
22.11.2016;75,6;76;76,3;73;57,03K;0,80%
21.11.2016;75;73,5;75;72,5;13,24K;0,94%
18.11.2016;74,3;75;75;73,5;11,59K;-0,93%
17.11.2016;75;75;75;74,4;24,79K;1,01%
16.11.2016;74,25;73,1;74,45;73;25,61K;1,71%
15.11.2016;73;72;73,5;71,5;24,26K;4,29%
14.11.2016;70;71;71;68;25,08K;-1,41%
11.11.2016;71;77;77;70;82,55K;-7,07%
10.11.2016;76,4;80,7;81,4;76,4;58,20K;-4,50%
09.11.2016;80;72;80;72;37,03K;1,33%
08.11.2016;78,95;77,9;79,8;77,9;34,73K;0,00%
07.11.2016;78,95;78,9;79,5;77,25;55,32K;2,53%
04.11.2016;77;76,6;78,95;76,5;8,32K;0,65%
03.11.2016;76,5;77,95;79,5;76,5;30,80K;-1,86%
02.11.2016;77,95;75;79;73;41,64K;2,03%
01.11.2016;76,4;79,95;81,25;75;64,50K;-4,44%
31.10.2016;79,95;80;81;76;49,86K;-0,06%
28.10.2016;80;78;81,5;76,5;51,77K;2,56%
27.10.2016;78;79,9;79,9;77,05;35,72K;-1,27%
26.10.2016;79;80;81,8;78;38,52K;-1,25%
25.10.2016;80;78;80;75,8;93,28K;2,04%
24.10.2016;78,4;74;78,4;73;90,09K;4,53%
21.10.2016;75;67,9;75,4;67,9;121,50K;10,38%
20.10.2016;67,95;65;67,95;64,5;59,98K;4,78%
19.10.2016;64,85;62,45;65,5;62;92,20K;3,84%
18.10.2016;62,45;63;63,25;61,8;26,53K;-1,26%
17.10.2016;63,25;62,25;63,3;62,2;24,33K;0,24%
14.10.2016;63,1;62,25;64,25;62;13,32K;0,16%
13.10.2016;63;62,95;63,5;62;27,23K;0,16%
12.10.2016;62,9;63,5;63,5;62,55;25,44K;-0,16%
11.10.2016;63;63,5;65;62,5;55,53K;0,00%
07.10.2016;63;62,5;64,5;61,5;121,85K;2,11%
06.10.2016;61,7;60,4;65,1;58,5;161,69K;2,83%
05.10.2016;60;58,7;60,4;57,9;36,44K;3,00%
04.10.2016;58,25;58,7;58,7;57,5;29,18K;1,66%
03.10.2016;57,3;57,35;58,85;56,8;21,81K;0,00%
30.09.2016;57,3;57;57,3;55,5;33,67K;1,96%
29.09.2016;56,2;53,85;56,2;53,85;79,68K;4,36%
28.09.2016;53,85;53,9;54,25;52,65;19,60K;-0,28%
27.09.2016;54;54,4;54,4;52,95;10,27K;-0,92%
26.09.2016;54,5;54,3;55,5;53,25;11,43K;-0,46%
23.09.2016;54,75;55;55;54,5;16,01K;-1,35%
22.09.2016;55,5;54;56;54;52,61K;3,16%
21.09.2016;53,8;53;53,8;53;25,45K;1,89%
20.09.2016;52,8;50,7;52,8;50,7;91,54K;3,53%
