Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion
26.07.2017;118,8;117;118,8;115,65;27,11K;2,19%
25.07.2017;116,25;118;118;115;27,00K;-1,48%
24.07.2017;118;119,6;121;116;37,25K;-1,26%
21.07.2017;119,5;116,5;120;116,5;58,46K;2,58%
20.07.2017;116,5;115,9;116,5;115,5;51,02K;0,65%
19.07.2017;115,75;115,3;116;114,7;31,91K;0,39%
18.07.2017;115,3;115;115,5;113,9;136,15K;0,92%
17.07.2017;114,25;115,1;115,5;113,5;61,19K;-0,22%
14.07.2017;114,5;112,55;114,5;112,5;71,10K;1,55%
13.07.2017;112,75;114,85;114,85;112;16,33K;-1,10%
12.07.2017;114;115;115;113,75;20,62K;-0,09%
11.07.2017;114,1;114,05;114,5;113,2;34,90K;0,04%
10.07.2017;114,05;114;115;113,5;48,37K;0,48%
07.07.2017;113,5;113,1;113,75;113;20,08K;0,35%
06.07.2017;113,1;112;113,5;110,1;60,43K;0,98%
05.07.2017;112;112,5;112,5;110,05;21,34K;-0,44%
04.07.2017;112,5;112,3;112,5;110;54,92K;0,45%
03.07.2017;112;111,5;112,5;111;28,18K;0,54%
30.06.2017;111,4;111,2;111,8;110,75;20,23K;0,36%
29.06.2017;111;112;112;109;10,84K;-0,89%
28.06.2017;112;111,05;112;110,35;27,21K;0,86%
27.06.2017;111,05;110;111,5;110;42,98K;0,05%
26.06.2017;111;111,25;112;110;41,38K;-0,72%
23.06.2017;111,8;110,4;112;110,4;30,45K;1,64%
22.06.2017;110;104,8;110,5;104;16,68K;4,76%
21.06.2017;105;105;109;103;62,91K;-6,25%
19.06.2017;112;108;113;107,9;36,57K;2,89%
16.06.2017;108,85;106,9;108,9;106,45;30,37K;2,21%
15.06.2017;106,5;106,5;106,5;101,3;24,08K;0,47%
14.06.2017;106;107,25;107,25;104,5;8,13K;-1,07%
13.06.2017;107,15;105,35;107,25;105,35;28,25K;1,08%
12.06.2017;106;106,5;108;105,5;40,61K;0,00%
09.06.2017;106;105;107,9;104,5;97,89K;1,00%
08.06.2017;104,95;108;108;103,9;35,07K;-2,78%
07.06.2017;107,95;108;108,35;106,2;35,68K;-0,05%
06.06.2017;108;110;110;106;36,43K;-0,92%
05.06.2017;109;109,3;109,3;107,5;29,42K;-0,37%
02.06.2017;109,4;111;111;108,4;16,49K;-1,35%
01.06.2017;110,9;111,9;111,9;110;14,28K;-1,16%
31.05.2017;112,2;113;113,4;110,75;12,58K;0,18%
30.05.2017;112;110;112;109,4;34,83K;2,75%
29.05.2017;109;114;115;108,3;37,67K;-4,39%
26.05.2017;114;113,5;116,4;113,5;33,97K;1,24%
24.05.2017;112,6;107,05;116,5;105,45;35,36K;4,50%
23.05.2017;107,75;109;109;107,1;61,73K;-1,15%
22.05.2017;109;110,9;110,9;108;20,71K;-1,71%
19.05.2017;110,9;110,5;110,9;109;32,17K;0,18%
18.05.2017;110,7;112;112,5;108;44,34K;-2,21%
17.05.2017;113,2;113,85;113,9;112,75;15,69K;-0,40%
16.05.2017;113,65;115;115,75;113,5;29,75K;-1,13%
15.05.2017;114,95;118,9;119;114,2;36,92K;-1,16%
12.05.2017;116,3;114;117;113,4;29,63K;2,56%
11.05.2017;113,4;118;120;111,9;54,28K;-4,42%
10.05.2017;118,65;118,9;120;118;23,51K;0,55%
09.05.2017;118;118,6;119,5;117,5;29,05K;-0,51%
08.05.2017;118,6;120;121;117,8;25,13K;-0,75%
05.05.2017;119,5;119,5;120,6;118,4;67,69K;0,00%
04.05.2017;119,5;116,9;119,95;116;118,60K;2,22%
03.05.2017;116,9;119,85;119,85;116,25;84,16K;-0,89%
02.05.2017;117,95;122,5;125;117;185,76K;1,24%
28.04.2017;116,5;123;123,9;115,5;245,13K;2,19%
27.04.2017;114;112;115;111,9;175,76K;1,97%
26.04.2017;111,8;109;111,95;108;85,00K;3,52%
25.04.2017;108;107,95;109,5;105;73,26K;0,84%
24.04.2017;107,1;102;107,9;102;48,51K;3,98%
21.04.2017;103;106,4;106,4;102,5;13,46K;-1,90%
20.04.2017;105;105,65;105,7;103,5;19,51K;-0,66%
19.04.2017;105,7;109;109;105;22,67K;-2,58%
18.04.2017;108,5;105,1;108,5;105,1;40,27K;3,63%
17.04.2017;104,7;100;104,7;100;28,31K;3,66%
12.04.2017;101;99;102;99;15,56K;-0,98%
11.04.2017;102;103;103,05;101;16,90K;-0,97%
10.04.2017;103;102,05;103;100,5;22,45K;0,64%
07.04.2017;102,35;101,5;103;101;62,09K;0,84%
06.04.2017;101,5;103;103;100,9;21,44K;-1,46%
05.04.2017;103;101;103,5;100;61,54K;0,98%
04.04.2017;102;103,2;103,2;100,8;20,82K;-1,16%
03.04.2017;103,2;103,3;104,2;101;60,41K;1,18%
31.03.2017;102;100,95;102;98,5;79,84K;1,04%
30.03.2017;100,95;103,9;103,9;100,55;23,92K;-2,84%
29.03.2017;103,9;103;104;102,5;36,76K;-0,10%
28.03.2017;104;105;105;103;41,39K;-0,95%
27.03.2017;105;106;106;104;9,01K;0,00%
23.03.2017;105;104;106;104;107,18K;0,00%
22.03.2017;105;106,5;106,5;105;97,95K;-1,41%
21.03.2017;106,5;107;108;105,5;36,19K;0,00%
20.03.2017;106,5;105,4;106,5;104;23,67K;1,43%
17.03.2017;105;105;105;104;24,27K;0,00%
16.03.2017;105;106,5;106,85;104;44,40K;-1,73%
15.03.2017;106,85;105,5;106,85;105,45;65,45K;0,94%
14.03.2017;105,85;107;108;105,5;22,42K;-1,99%
13.03.2017;108;107,5;109;107;105,45K;0,47%
10.03.2017;107,5;108;109;106,9;74,06K;0,47%
09.03.2017;107;109,05;109,05;106,2;268,88K;-1,83%
08.03.2017;109;107,55;109,9;107,55;47,68K;1,40%
07.03.2017;107,5;109,5;109,5;107;27,96K;-0,46%
06.03.2017;108;111;111;107;50,26K;-1,82%
03.03.2017;110;105;110;105;49,41K;1,01%
02.03.2017;108,9;111,9;111,9;107,5;34,66K;-0,50%
01.03.2017;109,45;110;110,25;107;26,31K;-0,05%
24.02.2017;109,5;108,9;110;105,45;34,95K;0,55%
23.02.2017;108,9;105;109;104;56,43K;4,11%
22.02.2017;104,6;103;104,9;102,5;22,57K;2,05%
21.02.2017;102,5;104;104;102;13,20K;-0,92%
20.02.2017;103,45;103,7;104;103;12,61K;-0,43%
17.02.2017;103,9;104;104,2;100,1;10,54K;-0,10%
16.02.2017;104;102,7;104,2;101,3;13,41K;1,07%
15.02.2017;102,9;99,1;103;99,1;14,99K;-0,05%
14.02.2017;102,95;104;104,2;101,5;14,19K;-0,72%
13.02.2017;103,7;102;103,7;100,1;13,41K;1,07%
10.02.2017;102,6;103;103,5;102,1;16,40K;0,34%
09.02.2017;102,25;102;102,65;101,5;30,08K;0,44%
08.02.2017;101,8;101;101,9;100,1;18,92K;1,70%
07.02.2017;100,1;100;101,3;99,5;21,73K;0,10%
06.02.2017;100;100,25;102;99,5;6,99K;-0,25%
03.02.2017;100,25;101;101,9;100,15;10,43K;-1,62%
02.02.2017;101,9;101;102;99;17,85K;0,89%
01.02.2017;101;98,15;102,65;98,15;17,40K;-0,30%
31.01.2017;101,3;100;101,3;98,7;10,06K;1,30%
30.01.2017;100;102,5;103;99,5;13,76K;-3,52%
27.01.2017;103,65;104,8;104,8;99;11,55K;0,39%
26.01.2017;103,25;104,4;104,4;103,25;8,00K;-0,05%
25.01.2017;103,3;102,2;105;102,2;44,84K;1,27%
24.01.2017;102;100;105,45;100;63,27K;2,15%
23.01.2017;99,85;96,3;100;96,3;163,53K;-6,68%
20.01.2017;107;104,5;107;101,9;24,62K;1,42%
19.01.2017;105,5;107,25;107,25;102,2;23,18K;-1,63%
18.01.2017;107,25;107;107,3;105,5;6,35K;-0,05%
17.01.2017;107,3;110,6;111;105;32,80K;-2,81%
16.01.2017;110,4;112,35;112,35;109;15,42K;-1,08%
13.01.2017;111,6;108;111,6;108;37,47K;3,81%
12.01.2017;107,5;103;107,5;102;38,05K;4,57%
11.01.2017;102,8;105,2;105,2;102,2;40,27K;-2,10%
10.01.2017;105;108,6;108,6;104;65,83K;-3,45%
09.01.2017;108,75;111,2;111,2;108;53,32K;-2,20%
06.01.2017;111,2;112,5;112,5;110,95;14,30K;-0,18%
05.01.2017;111,4;112;112;108;33,54K;-1,42%
04.01.2017;113;114,8;114,8;109;60,43K;-1,57%
03.01.2017;114,8;115,9;115,9;113,1;38,71K;-1,75%
02.01.2017;116,85;118;118;115,6;24,02K;-0,97%
29.12.2016;118;115,7;118,5;113,5;64,55K;2,25%
28.12.2016;115,4;113,5;115,5;110,5;26,03K;2,12%
27.12.2016;113;111;113,5;109,5;30,91K;3,20%
26.12.2016;109,5;116,5;117;109,5;39,47K;-5,85%
23.12.2016;116,3;116;118;114,75;21,62K;0,26%
22.12.2016;116;117,05;120;112;103,47K;0,91%
21.12.2016;114,95;107,6;115;107,6;313,60K;17,36%
