Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion
26.07.2017;96;96;96,5;95;49,24K;0,00%
25.07.2017;96;97;97,6;95,3;37,65K;-1,29%
24.07.2017;97,25;96,7;98,2;96,7;81,11K;0,78%
21.07.2017;96,5;96,4;98;96;51,45K;0,26%
20.07.2017;96,25;95,8;96,3;95;58,75K;0,36%
19.07.2017;95,9;93,05;99;93,05;107,52K;3,12%
18.07.2017;93;94,2;95,2;92;239,65K;-2,05%
17.07.2017;94,95;94,5;95,1;93,1;185,73K;-0,84%
14.07.2017;95,75;97;97,75;95;212,30K;-0,26%
13.07.2017;96;98;98;95,1;165,93K;-1,03%
12.07.2017;97;99,75;99,75;95,9;76,60K;-1,92%
11.07.2017;98,9;98;99,25;96,25;178,02K;1,18%
10.07.2017;97,75;95,85;98;95,8;90,85K;2,04%
07.07.2017;95,8;98;98,05;95;155,80K;-2,24%
06.07.2017;98;99;99,9;97,65;568,27K;-0,71%
05.07.2017;98,7;96,5;101;96,5;734,13K;2,49%
04.07.2017;96,3;100;100;96;170,18K;-1,18%
03.07.2017;97,45;94;98;92,95;1,01M;14,24%
30.06.2017;85,3;82;86,5;80,9;847,06K;4,28%
29.06.2017;81,8;79;83;79;96,88K;2,25%
28.06.2017;80;79;81;79;107,02K;0,63%
27.06.2017;79,5;80;80;78,2;67,34K;-0,63%
26.06.2017;80;79,5;81;79,5;129,77K;0,63%
23.06.2017;79,5;80;80,05;79;104,34K;-2,45%
22.06.2017;81,5;79,1;81,9;76,9;149,42K;2,58%
21.06.2017;79,45;78;79,5;77;188,97K;-4,85%
19.06.2017;83,5;81,2;84;81,2;101,89K;3,09%
16.06.2017;81;80;81;79,9;49,39K;0,62%
15.06.2017;80,5;80;82,1;79,8;148,43K;-1,35%
14.06.2017;81,6;82;83;81;60,68K;0,00%
13.06.2017;81,6;81,3;82,9;81,3;52,19K;0,31%
12.06.2017;81,35;79,9;82,5;79;89,25K;1,06%
09.06.2017;80,5;81;81,6;80;64,03K;-0,62%
08.06.2017;81;81,95;81,95;80,5;199,49K;-1,22%
07.06.2017;82;82;82,5;80,4;186,57K;0,24%
06.06.2017;81,8;80,3;82,5;80,3;169,34K;0,12%
05.06.2017;81,7;82,9;82,9;81,3;58,36K;-1,57%
02.06.2017;83;83,9;83,9;82,5;116,80K;-1,07%
01.06.2017;83,9;84;84,5;81,9;149,20K;0,24%
31.05.2017;83,7;83,5;83,7;82,95;150,13K;0,90%
30.05.2017;82,95;84,5;84,5;82;155,81K;-1,25%
29.05.2017;84;81,4;85;80,6;54,86K;3,19%
26.05.2017;81,4;79,85;82;79;270,57K;3,69%
24.05.2017;78,5;78;78,5;77,75;75,51K;0,64%
23.05.2017;78;77,5;78,45;77,5;163,04K;-0,38%
22.05.2017;78,3;78,8;80;78,2;66,04K;-0,89%
19.05.2017;79;76,8;79,4;76,8;72,58K;3,47%
18.05.2017;76,35;76;77,25;74,15;65,01K;-0,20%
17.05.2017;76,5;76,8;77,1;76,5;120,76K;-2,24%
16.05.2017;78,25;79,9;79,9;77,5;136,85K;-0,32%
15.05.2017;78,5;78,5;79,5;78;117,08K;2,61%
12.05.2017;76,5;75;77;74,8;223,73K;2,41%
11.05.2017;74,7;74,3;75,75;74,15;73,55K;0,95%
10.05.2017;74;74,2;74,2;73,6;49,86K;0,27%
09.05.2017;73,8;74;74,5;73,65;67,84K;0,14%
08.05.2017;73,7;75;75;73,5;28,80K;-1,07%
05.05.2017;74,5;73,8;74,5;73;77,15K;0,95%
