Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion
26.07.2017;53,1;51,8;53,5;51;324,81K;2,51%
25.07.2017;51,8;51,45;52;50,5;217,78K;0,78%
24.07.2017;51,4;51,8;52,45;51;157,02K;-0,87%
21.07.2017;51,85;51,8;53,1;51,7;122,90K;0,19%
20.07.2017;51,75;52,05;52,5;51,6;105,11K;0,00%
19.07.2017;51,75;51,45;52,95;51,3;239,60K;-1,71%
18.07.2017;52,65;52,35;52,8;50,5;511,07K;0,48%
17.07.2017;52,4;55,5;55,5;52,4;232,72K;-5,92%
14.07.2017;55,7;55,3;56;55;294,68K;0,36%
13.07.2017;55,5;55,5;56;54,4;168,16K;-0,89%
12.07.2017;56;57,15;58;56;109,33K;-2,10%
11.07.2017;57,2;57;57,2;56;139,91K;0,35%
10.07.2017;57;56,85;57,45;56,6;194,00K;0,09%
07.07.2017;56,95;57,8;57,8;55,3;197,41K;0,71%
06.07.2017;56,55;58,6;59;56;240,39K;-2,75%
05.07.2017;58,15;59,35;60,8;58,15;305,53K;-2,02%
04.07.2017;59,35;57,7;60,5;57,7;190,62K;3,04%
03.07.2017;57,6;56,25;57,8;56;213,61K;2,13%
30.06.2017;56,4;53;56,5;53;290,08K;3,58%
29.06.2017;54,45;54,4;54,5;52,75;144,76K;0,65%
28.06.2017;54,1;53,75;54,5;53;79,96K;0,65%
27.06.2017;53,75;54,45;55,1;53;126,74K;-1,29%
26.06.2017;54,45;54,45;55;53,4;205,79K;0,00%
23.06.2017;54,45;54;54,6;53,25;138,86K;1,59%
22.06.2017;53,6;52;53,6;52;227,22K;4,89%
21.06.2017;51,1;50;51,65;50;556,87K;-4,49%
19.06.2017;53,5;51,6;53,9;51,6;275,56K;4,09%
16.06.2017;51,4;49,5;51,4;49,5;136,64K;4,26%
15.06.2017;49,3;49,95;49,95;49;50,98K;-1,40%
14.06.2017;50;50,95;50,95;49;251,78K;0,00%
13.06.2017;50;48,6;50;47,6;149,99K;2,15%
12.06.2017;48,95;49,5;50;48,6;252,73K;-0,91%
09.06.2017;49,4;51,3;51,3;49,3;164,60K;-4,08%
08.06.2017;51,5;52,6;52,6;51,25;360,12K;-2,09%
07.06.2017;52,6;52,5;52,7;51;370,43K;1,15%
06.06.2017;52;51;53;51;287,19K;-1,70%
05.06.2017;52,9;55;55;52,5;263,81K;-2,94%
02.06.2017;54,5;54,5;54,95;53,8;307,86K;0,93%
01.06.2017;54;53,8;54,2;53,8;276,40K;1,31%
31.05.2017;53,3;53,8;54;53;427,04K;0,38%
30.05.2017;53,1;52,5;53,15;52;589,16K;-0,56%
29.05.2017;53,4;51,15;54,75;51,15;401,14K;4,81%
26.05.2017;50,95;48,5;51,5;48,3;397,48K;5,93%
24.05.2017;48,1;48,1;48,8;47,5;95,86K;0,00%
23.05.2017;48,1;49;49,25;48,1;85,26K;-0,62%
