Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion;YPF.BA
26.07.2017;351,5;356,05;359;350;20,72K;-0,71%;
25.07.2017;354;355,05;357,5;352,05;53,79K;0,85%;
24.07.2017;351;349,8;359;345,3;118,50K;0,26%;
21.07.2017;350,1;364;366,45;347;81,18K;-3,69%;
20.07.2017;363,5;362,1;366,3;362,05;30,74K;0,69%;
19.07.2017;361;365,05;376;359,5;88,24K;-0,28%;
18.07.2017;362;361,6;362,95;356,15;113,87K;-0,41%;
17.07.2017;363,5;370;378;360;51,36K;-1,76%;
14.07.2017;370;370;370;365;124,59K;-0,54%;
13.07.2017;372;377;377,9;363,5;52,51K;-1,59%;
12.07.2017;378;378;381,85;370,05;77,90K;-0,26%;
11.07.2017;379;365;379;365;96,77K;2,78%;
10.07.2017;368,75;373;373;367;40,80K;-1,25%;
07.07.2017;373,4;375;375;370;59,97K;-0,43%;
06.07.2017;375;377;380,95;374,35;49,69K;-0,53%;
05.07.2017;377;377,85;379,3;373,05;136,57K;0,00%;
04.07.2017;377;374;377;374;41,76K;0,80%;
03.07.2017;374;372,4;375;369;58,87K;2,44%;
30.06.2017;365,1;362;368;358,05;89,18K;2,27%;
29.06.2017;357;360;370;353,5;55,78K;-0,67%;
28.06.2017;359,4;357;361;357;35,27K;0,11%;
27.06.2017;359;361;365,9;359;50,02K;-0,28%;
26.06.2017;360;364,85;364,85;353,2;68,26K;-0,59%;
23.06.2017;362,15;359,5;369,45;355,25;62,37K;1,16%;
22.06.2017;358;346,05;362,5;346,05;139,64K;4,83%;
21.06.2017;341,5;340;344,7;331,9;350,89K;-3,26%;
19.06.2017;353;350;360;350;145,79K;1,18%;
16.06.2017;348,9;351,9;351,9;343;146,99K;-1,22%;
15.06.2017;353,2;360;363;351,7;232,62K;-3,23%;
14.06.2017;365;376,95;377;365;66,16K;-2,91%;
13.06.2017;375,95;373,5;376;370;65,68K;0,66%;
12.06.2017;373,5;375;382;372;71,49K;-0,93%;
09.06.2017;377;383;383;375;73,42K;-1,81%;
08.06.2017;383,95;390;392;380,25;70,43K;-1,30%;
07.06.2017;389;397;397;388,55;45,07K;-1,52%;
06.06.2017;395;389,5;398;388;87,42K;0,38%;
05.06.2017;393,5;398,5;400;389;78,12K;-1,60%;
02.06.2017;399,9;404,95;405;398,5;70,61K;-1,45%;
01.06.2017;405,8;406,5;409,5;404,8;70,58K;1,70%;
31.05.2017;399;401,95;401,95;391,5;76,36K;-1,23%;
30.05.2017;403,95;404;404,9;396,95;103,88K;-1,72%;
29.05.2017;411;402;414,4;395,05;83,45K;2,24%;
26.05.2017;402;391,2;403;391,2;139,22K;2,66%;
24.05.2017;391,6;387;392;387;71,22K;1,19%;
23.05.2017;387;392,9;392,9;370;44,92K;-0,32%;
22.05.2017;388,25;390;390;385,5;55,39K;-0,19%;
19.05.2017;389;383,35;389,95;383,35;74,09K;2,96%;
18.05.2017;377,8;359;378;359;101,85K;-0,25%;
17.05.2017;378,75;379,95;380;377;66,89K;-0,59%;
16.05.2017;381;381,75;383,25;375,5;77,44K;0,00%;
15.05.2017;381;378;382,7;378;63,61K;0,79%;
12.05.2017;378;378,5;382;378;66,92K;1,08%;
11.05.2017;373,95;380;380;371;105,71K;-2,36%;
10.05.2017;383;380;388,4;378,5;163,14K;3,51%;
09.05.2017;370;370;373;365;82,62K;-0,80%;
08.05.2017;373;375;376;364,5;65,43K;-1,58%;
05.05.2017;379;380;380,9;376,5;123,52K;-0,24%;
04.05.2017;379,9;390,8;390,8;372,4;91,48K;-3,09%;
03.05.2017;392;394,15;398,95;391,75;39,26K;-0,55%;
02.05.2017;394,15;401;401;393;104,52K;-1,95%;
28.04.2017;402;395;402;395;157,86K;1,97%;
27.04.2017;394,25;392;394,5;388;102,01K;0,57%;
26.04.2017;392;396,5;399;392;59,18K;-1,13%;
25.04.2017;396,5;400;400;392;100,24K;-0,88%;
24.04.2017;400;397,55;401;397,55;124,35K;1,01%;
21.04.2017;396;394;396;390,1;118,77K;0,51%;
20.04.2017;394;391;395;388;115,32K;2,44%;
19.04.2017;384,6;393;393;383;74,71K;-1,89%;
18.04.2017;392;394,1;395,1;390,05;61,74K;-0,78%;
17.04.2017;395,1;395,3;396,5;391,05;93,33K;-0,05%;
12.04.2017;395,3;394,1;400;388,05;124,03K;0,38%;
11.04.2017;393,8;391,8;395;390,3;83,50K;0,51%;
10.04.2017;391,8;391;396,95;390,45;114,87K;0,72%;
07.04.2017;389;393;395;389;83,34K;-0,51%;
06.04.2017;391;386,7;393,7;386,5;67,46K;1,30%;
05.04.2017;386;397,5;399;382,5;195,80K;-2,77%;
04.04.2017;397;385;398;384,15;143,81K;3,39%;
03.04.2017;384;381,1;385,9;380;100,69K;2,40%;
31.03.2017;375;374;377;371;117,89K;0,00%;
30.03.2017;375;370,1;376;368;101,31K;1,63%;
29.03.2017;369;373;374;369;184,26K;-1,07%;
28.03.2017;373;367,45;380;360;171,58K;1,51%;
27.03.2017;367,45;366;369;363,05;72,60K;0,40%;
23.03.2017;366;365,2;376;361;110,96K;0,27%;
22.03.2017;365;363;366,5;359;88,40K;0,55%;
21.03.2017;363;365;368;358,2;173,73K;-2,02%;
20.03.2017;370,5;362;373,1;362;107,79K;2,35%;
17.03.2017;362;365,25;368,85;357,5;109,49K;-0,62%;
16.03.2017;364,25;349;365,5;349;233,81K;4,97%;
15.03.2017;347;336;347,5;331,5;107,80K;2,89%;
14.03.2017;337,25;329,75;338,5;328;77,71K;0,67%;
13.03.2017;335;325,2;337;325,2;63,52K;3,41%;
10.03.2017;323,95;322,1;328,75;319,1;91,95K;0,76%;
09.03.2017;321,5;334;334;320;70,65K;-4,00%;
08.03.2017;334,9;336;341;330,05;81,99K;-0,33%;
07.03.2017;336;335,05;339,5;332,55;55,01K;0,63%;
06.03.2017;333,9;329,5;334;326;56,35K;1,18%;
03.03.2017;330;323;330,05;323;39,21K;2,18%;
02.03.2017;322,95;330;331;321,55;51,71K;-1,99%;
01.03.2017;329,5;325;330,95;323;25,82K;1,38%;
24.02.2017;325;334;334;324,5;48,24K;-1,81%;
23.02.2017;331;342,5;344,5;329,5;93,00K;-3,22%;
22.02.2017;342;350;350;340,5;130,95K;-2,29%;
21.02.2017;350;340,25;350,5;335;125,44K;4,82%;
20.02.2017;333,9;332,5;333,9;326;47,21K;0,42%;
17.02.2017;332,5;334;334;331;33,93K;-0,60%;
16.02.2017;334,5;333;335;332;49,87K;0,75%;
15.02.2017;332;335;336;328;60,48K;-0,95%;
14.02.2017;335,2;334;339;334;50,58K;0,36%;
13.02.2017;334;340;341;331,5;92,36K;-1,76%;
10.02.2017;340;337;341,8;334,5;134,11K;1,64%;
09.02.2017;334,5;334,5;336,45;332;42,03K;0,94%;
08.02.2017;331,4;335,05;335,05;322;117,63K;-1,07%;
07.02.2017;335;345,55;345,6;328;126,23K;-3,05%;
