Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion
26.07.2017;36,1;36,6;37;36,05;32,17K;-1,77%
25.07.2017;36,75;36;37;36;67,16K;0,68%
24.07.2017;36,5;37,2;37,7;36,3;98,37K;-1,22%
21.07.2017;36,95;36,1;37,25;36,1;48,93K;0,96%
20.07.2017;36,6;37,2;37,4;36,5;67,24K;-2,14%
19.07.2017;37,4;36,6;37,7;36,5;68,47K;2,47%
18.07.2017;36,5;36,7;36,7;36,4;232,94K;-0,68%
17.07.2017;36,75;37,25;37,7;36,5;51,24K;-1,34%
14.07.2017;37,25;37,2;37,25;36,7;50,25K;1,22%
13.07.2017;36,8;37,4;37,4;36,75;74,31K;-1,60%
12.07.2017;37,4;38;38;37,3;55,33K;-1,58%
11.07.2017;38;38,9;38,9;37;105,67K;-0,91%
10.07.2017;38,35;37,9;39,1;37,8;79,83K;1,46%
07.07.2017;37,8;36,75;38,2;36,75;72,38K;2,44%
06.07.2017;36,9;37;37,8;36,4;241,87K;0,00%
05.07.2017;36,9;36;36,9;36;36,14K;1,10%
04.07.2017;36,5;36,3;36,75;36;111,61K;-0,27%
03.07.2017;36,6;37;37;36,35;94,43K;-0,81%
30.06.2017;36,9;37;37,25;36,05;76,16K;-0,14%
29.06.2017;36,95;36,3;37,1;35,3;64,78K;1,65%
28.06.2017;36,35;37;37;36,3;26,59K;-0,41%
27.06.2017;36,5;36,5;37,45;36,45;28,89K;0,14%
26.06.2017;36,45;35,7;36,5;35,2;33,25K;2,10%
23.06.2017;35,7;35,7;35,9;35,3;75,02K;0,56%
22.06.2017;35,5;35,2;35,9;35,2;69,21K;0,85%
21.06.2017;35,2;35,8;35,8;34;149,53K;-5,12%
19.06.2017;37,1;37,45;37,5;36;117,11K;0,13%
16.06.2017;37,05;37,7;37,8;36,8;114,46K;-1,72%
15.06.2017;37,7;37,35;38,1;37,35;49,01K;-0,79%
14.06.2017;38;38,9;38,9;37,5;121,19K;-1,43%
13.06.2017;38,55;38,3;38,8;38,2;87,22K;0,92%
12.06.2017;38,2;38,65;38,65;38;104,86K;0,53%
09.06.2017;38;38,15;38,45;37,5;138,01K;-0,26%
08.06.2017;38,1;39,1;40;37,9;66,67K;-2,31%
07.06.2017;39;39;39,4;38,8;58,35K;0,00%
06.06.2017;39;39,8;39,8;39;20,17K;-1,89%
05.06.2017;39,75;39,8;40;39,3;89,61K;-0,13%
02.06.2017;39,8;40;40,5;39,7;31,87K;-0,25%
01.06.2017;39,9;40,1;40,7;39,6;107,47K;-0,50%
31.05.2017;40,1;41,15;41,15;39,7;120,15K;-2,55%
30.05.2017;41,15;41,5;41,6;39,8;110,40K;0,98%
29.05.2017;40,75;39,5;41,45;39,5;176,14K;3,16%
26.05.2017;39,5;39,9;39,9;39,4;87,92K;-1,25%
24.05.2017;40;40,2;40,4;39,65;60,97K;-0,50%
23.05.2017;40,2;40,5;40,7;39,15;35,15K;0,12%
22.05.2017;40,15;40,7;41;39,45;62,63K;-1,35%
19.05.2017;40,7;39,5;41;39,5;69,92K;3,30%
18.05.2017;39,4;39,1;40;38,3;71,08K;-2,23%
17.05.2017;40,3;40,65;40,65;40,1;53,63K;-0,86%
16.05.2017;40,65;41;41,5;40,5;66,69K;-0,37%
15.05.2017;40,8;41,6;41,6;40,55;60,76K;-1,33%
12.05.2017;41,35;40,4;42,25;39,75;145,74K;1,85%
