Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion;AGR
26.07.2017;32,5;32,55;32,85;32;81,69K;0,31%;
25.07.2017;32,4;33,5;34,5;32,4;252,27K;-3,28%;
24.07.2017;33,5;35,25;35,45;33,1;257,95K;-5,63%;
21.07.2017;35,5;35,25;35,8;35;105,98K;0,71%;
20.07.2017;35,25;35,3;36,6;35,2;156,13K;0,00%;
19.07.2017;35,25;35;36,7;35;317,89K;1,59%;
18.07.2017;34,7;35,2;35,2;33,3;418,00K;-1,98%;
17.07.2017;35,4;36,95;36,95;34,8;302,06K;-4,32%;
14.07.2017;37;38,95;38,95;36,8;97,40K;-3,39%;
13.07.2017;38,3;39,4;39,8;37,7;99,33K;-2,05%;
12.07.2017;39,1;40;40,6;39;125,95K;-0,89%;
11.07.2017;39,45;38,15;39,6;37,95;255,97K;3,27%;
10.07.2017;38,2;39;39;38,05;217,32K;-2,80%;
07.07.2017;39,3;40,3;40,35;39,05;130,85K;-2,60%;
06.07.2017;40,35;41,9;41,9;40,35;178,58K;-3,70%;
05.07.2017;41,9;43,5;43,6;41,5;116,16K;-3,90%;
04.07.2017;43,6;43,95;44;43,35;122,45K;0,46%;
03.07.2017;43,4;43;43,5;42,7;160,60K;2,36%;
30.06.2017;42,4;42;42,5;41,3;191,18K;2,91%;
29.06.2017;41,2;40,9;41,2;40,2;114,49K;1,85%;
28.06.2017;40,45;40;41,3;40;93,15K;2,41%;
27.06.2017;39,5;39,35;40;38,5;144,17K;2,07%;
26.06.2017;38,7;39,1;40;38,4;140,59K;0,26%;
23.06.2017;38,6;40,2;40,3;38;103,10K;-2,28%;
22.06.2017;39,5;39;41;39;98,29K;0,38%;
21.06.2017;39,35;39,9;40;38,8;334,11K;-7,95%;
19.06.2017;42,75;41,6;43,2;41,6;86,05K;4,27%;
16.06.2017;41;40;41;40;104,25K;1,74%;
15.06.2017;40,3;41,6;41,6;40,1;172,22K;-3,12%;
14.06.2017;41,6;43;43,45;41,5;69,38K;-1,54%;
13.06.2017;42,25;40;42,85;39,5;305,39K;4,84%;
12.06.2017;40,3;43,6;43,6;40,1;332,60K;-7,57%;
09.06.2017;43,6;44,1;45,5;43,5;109,54K;-3,86%;
