Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion
02.12.2016;81;81;81;81;-;15,71%
14.10.2016;70;70;70;70;0,10K;7,69%
08.09.2016;65;65;65;65;0,13K;8,33%
02.09.2016;60;60;60;60;0,05K;9,09%
24.08.2016;55;55;55;55;0,35K;0,00%
23.08.2016;55;55;55;55;0,30K;13,40%
18.08.2016;48,5;48,5;48,5;48,5;0,20K;7,78%
25.07.2016;45;45;45;45;0,04K;-7,22%
14.07.2016;48,5;48,5;48,5;48,5;1,00K;7,78%
12.07.2016;45;45;45;45;0,46K;2,27%
11.07.2016;44;44;44;44;0,69K;0,00%
06.07.2016;44;44;44;44;-;0,00%
01.07.2016;44;43;44;43;2,51K;2,33%
29.06.2016;43;42,5;43;42,5;0,50K;7,50%
07.06.2016;40;40;40;40;0,06K;-5,44%
03.06.2016;42,3;42,3;42,3;42,3;0,47K;-1,63%
26.05.2016;43;43;43;43;2,31K;2,38%
12.05.2016;42;42;42;42;0,13K;2,44%
11.05.2016;41;41;41;41;0,03K;0,00%
05.05.2016;41;42;42;41;3,00K;30,16%
04.05.2016;31,5;31,5;31,5;31,5;0,04K;0,00%
25.04.2016;31,5;31,5;31,5;31,5;-;-3,08%
31.03.2016;32,5;32,5;32,5;32,5;2,97K;8,33%
17.03.2016;30;30;30,2;30;6,29K;6,76%
16.03.2016;28,1;28,1;28,1;28,1;7,00K;-10,79%
02.03.2016;31,5;31,5;31,5;31,5;0,11K;0,00%
25.01.2016;31,5;31,5;31,5;31,5;0,04K;3,28%
19.01.2016;30,5;30,5;30,5;30,5;0,05K;0,00%
28.12.2015;30,5;30,5;30,5;30,5;2,97K;1,67%
14.12.2015;30;30;30;30;0,40K;-37,50%
05.11.2015;48;48;48;48;0,10K;0,00%
02.09.2015;48;48;48;48;0,09K;0,00%
29.07.2015;48;48;48;48;0,40K;-5,88%
17.07.2015;51;51;51;51;0,11K;0,00%
10.07.2015;51;51;51;51;1,00K;-3,59%
11.06.2015;52,9;52,9;52,9;52,9;0,14K;-4,77%
22.05.2015;55,55;55,55;55,55;55,55;0,07K;2,30%
20.05.2015;54,3;54,3;54,3;54,3;0,05K;2,45%
06.05.2015;53;53;53;53;0,20K;1,92%
29.04.2015;52;52;52;52;0,10K;5,05%
21.04.2015;49,5;47,95;49,5;47,95;2,42K;1,12%
14.04.2015;48,95;49,25;49,25;48,95;1,20K;55,40%
17.03.2015;31,5;31,5;31,5;31,5;0,32K;-7,35%
12.03.2015;34;33,95;34;33,95;1,20K;-66,00%
23.10.2014;100;100;100;100;0,04K;-23,08%
27.08.2014;130;130;130;130;26,09K;44,44%
12.08.2014;90;90;90;90;3,35K;16,88%
07.07.2014;77;77;77;77;46,90K;16,67%
03.06.2014;66;66;66;66;0,03K;1,69%
15.04.2014;64,9;64,9;64,9;64,9;1,50K;-15,12%
