Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion
26.07.2017;156;154;156;153,6;49,48K;1,30%
25.07.2017;154;151,7;156,5;151,7;57,83K;1,32%
24.07.2017;152;151,6;154,8;151,6;91,75K;0,00%
21.07.2017;152;148,25;153;148,25;187,86K;2,53%
20.07.2017;148,25;151;151,45;148;61,34K;-2,15%
19.07.2017;151,5;145,1;152;145,1;87,21K;4,48%
18.07.2017;145;151,5;152,2;145;196,03K;-5,07%
17.07.2017;152,75;152;153,95;150,05;178,12K;1,50%
14.07.2017;150,5;154;154;149,5;80,34K;-1,63%
13.07.2017;153;153,5;154,2;151,5;24,91K;-0,33%
12.07.2017;153,5;151,6;153,5;151;25,83K;2,33%
11.07.2017;150;152,5;153;150;31,95K;-1,54%
10.07.2017;152,35;154;155,8;151;56,90K;-0,52%
07.07.2017;153,15;154;154;151,1;125,77K;-0,55%
06.07.2017;154;156;159;154;144,62K;-1,28%
05.07.2017;156;154;158;154;295,39K;1,96%
04.07.2017;153;155;156;151,05;47,64K;-0,81%
03.07.2017;154,25;153,55;156;153,55;59,94K;0,82%
30.06.2017;153;150,05;153,5;150,05;93,64K;2,68%
29.06.2017;149;147,35;149,3;147;51,20K;1,12%
28.06.2017;147,35;144,55;147,35;144,5;85,44K;2,36%
27.06.2017;143,95;145,7;145,7;142;92,52K;-1,13%
26.06.2017;145,6;142,55;146;142;104,75K;2,18%
23.06.2017;142,5;145;145;138,3;33,38K;-1,04%
22.06.2017;144;142,9;145;141,55;186,72K;1,55%
21.06.2017;141,8;135;143,5;133,15;903,72K;0,35%
19.06.2017;141,3;139,15;143;139,15;683,02K;1,65%
16.06.2017;139;138,5;140;137,5;70,22K;1,28%
15.06.2017;137,25;139;139;136,5;79,50K;-1,61%
14.06.2017;139,5;139,85;139,85;136,5;226,77K;-0,61%
13.06.2017;140,35;144;144;138,15;63,58K;-2,60%
12.06.2017;144,1;143,1;148,4;143,1;155,03K;0,77%
09.06.2017;143;145,5;147,2;143;121,08K;-3,05%
08.06.2017;147,5;151;152,25;145,25;109,37K;-1,83%
07.06.2017;150,25;153,25;155,5;150,1;122,13K;-1,96%
06.06.2017;153,25;151,9;155,15;151,5;181,18K;-1,19%
05.06.2017;155,1;148;155,1;147;200,05K;5,30%
02.06.2017;147,3;143,2;147,3;142,5;169,36K;3,01%
01.06.2017;143;144,5;145,5;142;63,24K;-0,35%
31.05.2017;143,5;142,5;148;141,8;91,43K;0,00%
30.05.2017;143,5;146;149;142;189,96K;-1,78%
29.05.2017;146,1;143;149,95;143;83,43K;2,17%
26.05.2017;143;142;144,5;141;127,62K;2,88%
24.05.2017;139;139;142;137,5;114,23K;0,00%
23.05.2017;139;139;139;136,95;41,67K;0,36%
22.05.2017;138,5;138;139;136;32,42K;0,36%
19.05.2017;138;134;139,8;134;157,47K;3,33%
18.05.2017;133,55;136;136;131,5;78,95K;-3,08%
17.05.2017;137,8;140;140;136,7;58,86K;-1,57%
16.05.2017;140;138;140,4;138;100,36K;1,45%
15.05.2017;138;136;138;134,45;70,00K;2,22%
12.05.2017;135;141,5;141,5;135;83,30K;-3,57%
11.05.2017;140;137,5;140;135,5;59,82K;1,82%
10.05.2017;137,5;135,5;137,5;135,5;57,10K;1,10%
09.05.2017;136;136,5;137,45;136;59,62K;-0,37%
08.05.2017;136,5;135;136,5;133;44,75K;0,00%
05.05.2017;136,5;134,2;137;133,1;124,51K;1,71%
04.05.2017;134,2;140;140;133,05;187,81K;-0,59%
03.05.2017;135;137,3;137,35;134,5;72,84K;-1,50%
02.05.2017;137,05;135;137,4;134,95;116,13K;2,09%
