Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion
26.07.2017;11,2;11,2;11,2;11;35,01K;0,00%
25.07.2017;11,2;11,5;11,5;10,9;23,57K;-1,32%
24.07.2017;11,35;11,65;11,65;11;75,53K;-2,16%
21.07.2017;11,6;11,3;11,7;11,3;57,70K;0,87%
20.07.2017;11,5;11,15;11,5;11,15;144,39K;3,14%
19.07.2017;11,15;11;11,15;10,6;60,12K;1,83%
18.07.2017;10,95;11,2;11,2;10,75;77,10K;-2,23%
17.07.2017;11,2;11,55;11,55;11,1;29,92K;-3,03%
14.07.2017;11,55;11,65;11,65;11,25;59,71K;1,32%
13.07.2017;11,4;11,8;11,9;11,3;102,58K;-2,56%
12.07.2017;11,7;11,15;11,7;11,15;81,16K;6,36%
11.07.2017;11;11,05;11,35;11;56,87K;-0,45%
10.07.2017;11,05;11,3;11,3;10,95;44,64K;-2,21%
07.07.2017;11,3;11,25;11,4;11;48,89K;0,44%
06.07.2017;11,25;11,55;11,55;11,1;88,40K;-3,85%
05.07.2017;11,7;11,8;11,85;11,5;57,32K;-0,43%
04.07.2017;11,75;11,7;11,9;11,6;178,66K;1,73%
03.07.2017;11,55;11,75;11,9;11,4;448,84K;1,32%
30.06.2017;11,4;11;11,4;10,65;792,56K;1,33%
29.06.2017;11,25;11,5;11,5;11,1;80,25K;-2,60%
28.06.2017;11,55;11,65;11,9;11,35;144,72K;-0,86%
27.06.2017;11,65;11,8;12;11,4;89,78K;-0,43%
26.06.2017;11,7;11,5;11,8;11,2;115,17K;1,30%
23.06.2017;11,55;11,5;11,6;11,2;45,20K;0,43%
22.06.2017;11,5;11,5;11,8;11,1;125,05K;1,77%
21.06.2017;11,3;11,5;11,5;10,95;323,77K;-5,83%
19.06.2017;12;12,4;12,4;11,8;308,59K;-3,23%
16.06.2017;12,4;12,35;12,55;12,15;78,45K;-0,80%
15.06.2017;12,5;12,9;12,9;12,3;138,40K;-3,47%
14.06.2017;12,95;13;13,3;12,5;200,19K;0,00%
13.06.2017;12,95;12;12,95;12;155,02K;7,02%
12.06.2017;12,1;12,9;13;12;232,46K;-6,56%
09.06.2017;12,95;13,55;13,55;12,9;116,93K;-4,43%
08.06.2017;13,55;13,9;13,9;13,3;60,68K;-1,81%
07.06.2017;13,8;13,85;13,85;13,55;55,73K;0,00%
06.06.2017;13,8;13,9;14;13,65;60,03K;-1,08%
05.06.2017;13,95;13,85;14,05;13,8;47,24K;-0,71%
02.06.2017;14,05;14,1;14,1;13,9;36,91K;-1,40%
01.06.2017;14,25;14,2;14,3;14,1;35,87K;0,00%
31.05.2017;14,25;14,5;14,5;14,1;60,23K;-1,04%
30.05.2017;14,4;14,3;15;14,25;61,82K;0,00%
29.05.2017;14,4;14,45;14,5;14,1;74,96K;-0,35%
26.05.2017;14,45;14,15;14,5;14,15;58,06K;0,00%
