Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion
26.07.2017;3,28;3,24;3,28;3,18;578,49K;1,23%
25.07.2017;3,24;3,35;3,35;3,2;1,63M;-2,11%
24.07.2017;3,31;3,28;3,36;3,28;562,51K;0,30%
21.07.2017;3,3;3,32;3,33;3,3;829,66K;-0,90%
20.07.2017;3,33;3,28;3,33;3,28;757,74K;0,00%
19.07.2017;3,33;3,26;3,33;3,26;1,04M;1,83%
18.07.2017;3,27;3,27;3,29;3,25;1,78M;-1,21%
17.07.2017;3,31;3,4;3,4;3,3;1,62M;-2,65%
14.07.2017;3,4;3,36;3,4;3,34;2,85M;1,49%
13.07.2017;3,35;3,38;3,39;3,32;1,08M;-1,18%
12.07.2017;3,39;3,35;3,39;3,33;2,36M;1,19%
11.07.2017;3,35;3,28;3,37;3,26;3,35M;2,13%
10.07.2017;3,28;3,24;3,29;3,23;1,59M;1,55%
07.07.2017;3,23;3,24;3,27;3,2;1,67M;0,31%
06.07.2017;3,22;3,26;3,29;3,22;1,28M;-1,83%
05.07.2017;3,28;3,27;3,3;3,25;1,68M;0,92%
04.07.2017;3,25;3,25;3,29;3,25;1,79M;0,00%
03.07.2017;3,25;3,25;3,26;3,21;1,07M;1,56%
30.06.2017;3,2;3,2;3,3;3,17;2,38M;0,63%
29.06.2017;3,18;3,28;3,32;3,16;678,07K;-1,85%
28.06.2017;3,24;3,24;3,28;3,2;1,53M;0,00%
27.06.2017;3,24;3,29;3,29;3,23;1,33M;-8,47%
26.06.2017;3,54;3,48;3,55;3,48;2,38M;2,02%
23.06.2017;3,47;3,38;3,47;3,31;2,06M;4,83%
22.06.2017;3,31;3,22;3,32;3,22;1,33M;2,80%
21.06.2017;3,22;3,23;3,3;3,21;3,75M;-5,29%
19.06.2017;3,4;3,39;3,43;3,37;894,62K;0,29%
16.06.2017;3,39;3,38;3,45;3,38;1,27M;0,30%
15.06.2017;3,38;3,43;3,43;3,37;1,39M;-0,88%
14.06.2017;3,41;3,45;3,45;3,37;759,52K;0,29%
13.06.2017;3,4;3,38;3,44;3,37;1,09M;0,59%
12.06.2017;3,38;3,39;3,47;3,33;2,22M;-0,88%
09.06.2017;3,41;3,45;3,48;3,38;1,57M;-2,01%
08.06.2017;3,48;3,48;3,52;3,45;1,42M;-0,85%
07.06.2017;3,51;3,6;3,63;3,49;1,70M;-1,68%
06.06.2017;3,57;3,5;3,64;3,5;1,77M;0,00%
05.06.2017;3,57;3,44;3,57;3,41;2,42M;4,08%
02.06.2017;3,43;3,39;3,46;3,32;1,49M;1,18%
01.06.2017;3,39;3,48;3,52;3,39;1,34M;-2,02%
31.05.2017;3,46;3,41;3,46;3,4;2,84M;1,76%
30.05.2017;3,4;3,5;3,5;3,38;2,41M;-2,58%
29.05.2017;3,49;3,56;3,6;3,49;3,20M;-2,24%
26.05.2017;3,57;3,55;3,65;3,52;2,79M;0,28%
24.05.2017;3,56;3,55;3,6;3,51;2,46M;0,85%
23.05.2017;3,53;3,49;3,59;3,46;2,69M;2,32%
22.05.2017;3,45;3,44;3,47;3,36;2,25M;-1,15%
19.05.2017;3,49;3,5;3,56;3,4;2,86M;1,16%
18.05.2017;3,45;3,5;3,53;3,44;2,89M;-4,17%
17.05.2017;3,6;3,63;3,65;3,57;1,22M;-0,83%
16.05.2017;3,63;3,62;3,63;3,57;2,90M;0,55%
15.05.2017;3,61;3,65;3,69;3,56;2,19M;-1,10%
12.05.2017;3,65;3,85;3,86;3,62;3,75M;-2,93%
11.05.2017;3,76;3,94;3,98;3,76;2,80M;-3,59%
10.05.2017;3,9;3,72;3,93;3,72;3,63M;3,45%
09.05.2017;3,77;3,79;3,79;3,74;1,75M;-1,82%
08.05.2017;3,84;3,87;3,87;3,81;1,50M;-0,78%
05.05.2017;3,87;3,79;3,88;3,79;3,09M;2,11%
04.05.2017;3,79;3,78;3,8;3,72;3,16M;0,26%
03.05.2017;3,78;3,83;3,9;3,76;3,99M;-1,05%
02.05.2017;3,82;3,76;3,85;3,76;5,82M;2,41%
28.04.2017;3,73;3,6;3,83;3,6;6,52M;5,07%
27.04.2017;3,55;3,53;3,64;3,52;3,01M;-0,28%
26.04.2017;3,56;3,67;3,74;3,56;6,11M;-3,26%
25.04.2017;3,68;3,5;3,7;3,5;13,10M;5,14%
24.04.2017;3,5;3,24;3,51;3,24;7,43M;8,02%
21.04.2017;3,24;3,23;3,29;3,19;2,47M;0,93%
20.04.2017;3,21;3,24;3,24;3,17;2,18M;0,00%
19.04.2017;3,21;3,2;3,23;3,18;2,35M;0,94%
18.04.2017;3,18;3,2;3,21;3,16;712,19K;-0,31%
17.04.2017;3,19;3,16;3,22;3,16;700,39K;0,00%
12.04.2017;3,19;3,21;3,21;3,16;419,47K;-0,93%
11.04.2017;3,22;3,23;3,24;3,19;1,72M;0,00%
10.04.2017;3,22;3,2;3,25;3,2;2,35M;0,62%
07.04.2017;3,2;3,13;3,27;3,13;4,62M;1,59%
06.04.2017;3,15;3,14;3,16;3,1;825,93K;-0,32%
05.04.2017;3,16;3,16;3,18;3,14;1,63M;0,00%
04.04.2017;3,16;3,15;3,17;3,12;2,56M;1,28%
03.04.2017;3,12;3,11;3,15;3,09;842,93K;0,32%
31.03.2017;3,11;3,14;3,14;3,05;2,17M;-0,32%
30.03.2017;3,12;3,15;3,15;3,11;1,06M;-0,95%
29.03.2017;3,15;3,2;3,2;3,12;1,70M;-1,25%
28.03.2017;3,19;3,2;3,22;3,15;2,01M;-0,31%
27.03.2017;3,2;3,2;3,2;3,15;789,92K;0,00%
23.03.2017;3,2;3,16;3,2;3,09;2,46M;1,59%
22.03.2017;3,15;3,2;3,2;3,14;658,91K;-1,25%
21.03.2017;3,19;3,2;3,22;3,13;2,04M;0,00%
20.03.2017;3,19;3,08;3,22;3,05;2,55M;3,57%
17.03.2017;3,08;3,08;3,1;3,03;1,49M;0,33%
16.03.2017;3,07;3,08;3,12;3,07;1,75M;-0,97%
15.03.2017;3,1;3,08;3,12;3,08;1,47M;-0,32%
14.03.2017;3,11;3,09;3,11;3,05;1,89M;0,32%
13.03.2017;3,1;3,09;3,13;3,05;1,90M;0,00%
10.03.2017;3,1;3,07;3,11;3,05;1,59M;0,98%
09.03.2017;3,07;3,14;3,14;3,06;1,58M;-2,23%
08.03.2017;3,14;3,15;3,19;3,1;2,65M;0,32%
07.03.2017;3,13;3,09;3,14;3,07;1,75M;1,62%
06.03.2017;3,08;3,06;3,08;3,03;1,00M;0,65%
03.03.2017;3,06;3,03;3,07;3,02;1,27M;0,00%
02.03.2017;3,06;3,07;3,1;3,03;1,31M;-0,97%
01.03.2017;3,09;3,08;3,11;3,04;2,35M;-0,32%
24.02.2017;3,1;3,14;3,14;3,1;3,02M;-1,59%
23.02.2017;3,15;3,03;3,15;3,02;5,35M;3,96%
22.02.2017;3,03;3,03;3,05;3,02;3,25M;0,66%
21.02.2017;3,01;3;3,02;2,97;1,87M;0,67%
20.02.2017;2,99;3;3;2,96;1,53M;-0,33%
17.02.2017;3;3,01;3,03;2,99;2,12M;-0,99%
16.02.2017;3,03;3,03;3,04;3;2,14M;0,00%
15.02.2017;3,03;3,03;3,04;3;1,77M;-0,33%
14.02.2017;3,04;3,03;3,08;3;1,69M;0,33%
13.02.2017;3,03;3,03;3,05;2,97;1,57M;0,00%
10.02.2017;3,03;2,98;3,03;2,98;2,26M;0,66%
09.02.2017;3,01;3;3,04;2,98;1,37M;0,00%
08.02.2017;3,01;3;3,04;2,97;1,12M;-0,33%
07.02.2017;3,02;3,01;3,1;3;1,85M;-0,66%
06.02.2017;3,04;2,98;3,04;2,96;1,66M;2,36%
03.02.2017;2,97;2,94;2,98;2,89;1,56M;1,02%
02.02.2017;2,94;2,95;2,95;2,9;2,15M;0,34%
01.02.2017;2,93;2,92;2,96;2,89;1,66M;0,00%
31.01.2017;2,93;2,92;2,95;2,91;1,08M;0,34%
30.01.2017;2,92;3;3;2,91;1,82M;-2,67%
27.01.2017;3;2,96;3,03;2,96;2,01M;1,69%
26.01.2017;2,95;2,97;3,02;2,95;1,42M;-1,01%
25.01.2017;2,98;2,98;3,03;2,97;1,60M;-0,67%
24.01.2017;3;3,03;3,06;2,98;1,51M;-0,99%
23.01.2017;3,03;2,94;3,06;2,92;2,61M;3,06%
20.01.2017;2,94;2,92;2,96;2,91;1,41M;0,34%
19.01.2017;2,93;2,97;3;2,9;975,08K;-1,35%
18.01.2017;2,97;3;3,04;2,97;1,24M;-0,67%
17.01.2017;2,99;2,96;3,01;2,95;2,17M;1,01%
16.01.2017;2,96;2,97;3;2,94;1,30M;0,00%
13.01.2017;2,96;2,95;3;2,93;1,99M;0,34%
