Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion
26.07.2017;26,9;26,5;27;26,45;160,76K;0,00%
25.07.2017;26,9;26,7;27;26,1;330,77K;0,94%
24.07.2017;26,65;26,8;27,3;26,15;327,12K;-0,93%
21.07.2017;26,9;26,1;26,9;26,1;302,47K;2,28%
20.07.2017;26,3;26,1;26,4;25,9;164,81K;0,38%
19.07.2017;26,2;26,4;26,55;25,7;166,35K;-0,57%
18.07.2017;26,35;25,7;26,4;25,55;485,34K;2,13%
17.07.2017;25,8;25,65;25,9;25,3;366,55K;-0,96%
14.07.2017;26,05;25,5;26,4;25,4;265,44K;0,19%
13.07.2017;26;26,1;26,1;24,9;402,53K;-2,26%
12.07.2017;26,6;26;26,95;26;231,01K;-0,37%
11.07.2017;26,7;26,4;26,8;26,2;230,82K;0,19%
10.07.2017;26,65;26,4;26,9;26,1;151,56K;0,19%
07.07.2017;26,6;26,2;26,7;26,2;130,06K;1,14%
06.07.2017;26,3;26,95;27;26,2;450,25K;-2,05%
05.07.2017;26,85;26,2;27;26;656,07K;2,09%
04.07.2017;26,3;26,3;26,55;26;175,33K;-0,38%
03.07.2017;26,4;26,65;26,8;26,35;438,27K;0,00%
30.06.2017;26,4;25,8;26,55;25,8;394,80K;2,72%
29.06.2017;25,7;25,7;26,3;25,5;421,06K;0,00%
28.06.2017;25,7;25;25,75;24,9;414,29K;2,80%
27.06.2017;25;25,3;25,3;24,9;165,32K;-1,57%
26.06.2017;25,4;25,5;25,5;24,75;130,92K;0,79%
23.06.2017;25,2;25;25,4;25;141,53K;1,82%
22.06.2017;24,75;24,5;25,5;24,5;252,64K;-0,60%
21.06.2017;24,9;24;25,1;24;1,01M;-3,30%
19.06.2017;25,75;25,6;26;25,5;190,34K;2,18%
16.06.2017;25,2;24,2;25,3;24,15;119,14K;4,13%
15.06.2017;24,2;24,5;24,5;23,75;137,22K;-1,02%
14.06.2017;24,45;24,85;24,9;23,7;279,57K;-0,61%
13.06.2017;24,6;24,9;24,9;24,1;170,77K;0,82%
12.06.2017;24,4;25;25;23,9;325,78K;-1,41%
09.06.2017;24,75;24,2;25;24,2;177,19K;1,23%
08.06.2017;24,45;24,55;25;24,4;377,71K;-1,01%
07.06.2017;24,7;26;26;24,5;428,16K;-2,18%
06.06.2017;25,25;26;26;25;414,37K;-1,56%
05.06.2017;25,65;26;26;25,35;233,50K;-1,16%
02.06.2017;25,95;26,6;26,6;25,8;390,09K;0,58%
01.06.2017;25,8;26,25;26,5;25,6;574,14K;-0,39%
31.05.2017;25,9;26,3;26,3;25,75;498,44K;-0,77%
30.05.2017;26,1;27,3;27,3;26,05;1,97M;-5,09%
29.05.2017;27,5;26,35;27,6;26,35;592,60K;5,57%
26.05.2017;26,05;25,95;26,05;24,9;1,66M;4,20%
24.05.2017;25;25,2;25,4;24,9;216,39K;-0,79%
23.05.2017;25,2;25,3;25,4;24,9;102,48K;-0,40%
22.05.2017;25,3;25,75;26;24,8;201,83K;-1,75%
19.05.2017;25,75;26,5;26,5;25,5;246,20K;0,98%
18.05.2017;25,5;25;25,7;23,9;304,71K;1,19%
17.05.2017;25,2;25,7;25,7;25;107,36K;-1,95%
16.05.2017;25,7;25,55;25,85;25,4;191,51K;0,19%
15.05.2017;25,65;25,8;25,95;25,4;236,35K;-1,35%
12.05.2017;26;26,3;26,35;25,85;103,67K;0,00%
11.05.2017;26;26;26,3;25,9;110,98K;0,00%
10.05.2017;26;26,35;26,35;25,85;145,13K;0,00%
09.05.2017;26;25,5;26,25;25,3;164,09K;2,36%
08.05.2017;25,4;25,8;25,85;25;211,91K;-1,74%
05.05.2017;25,85;26,1;26,5;25,6;125,51K;-1,71%
04.05.2017;26,3;26,5;27;25,5;203,91K;-1,50%
03.05.2017;26,7;26,9;27;26,55;131,07K;-1,11%
02.05.2017;27;26,85;27,2;26,5;272,74K;0,75%
28.04.2017;26,8;26,25;26,85;25,5;397,85K;2,10%
27.04.2017;26,25;26,9;26,9;26,1;598,38K;-3,14%
26.04.2017;27,1;27,5;27,65;27;232,67K;-1,99%
25.04.2017;27,65;28,4;28,4;27,6;247,64K;-2,64%
24.04.2017;28,4;28,45;28,6;28,2;293,22K;0,18%
21.04.2017;28,35;28;28,35;27,7;327,03K;1,61%
20.04.2017;27,9;28;28;27,5;176,16K;0,36%
19.04.2017;27,8;27;28,2;27;278,48K;1,09%
18.04.2017;27,5;27,5;27,8;27,45;216,76K;0,36%
17.04.2017;27,4;27,8;27,8;27,35;355,06K;0,74%
12.04.2017;27,2;26,95;27,3;26,45;398,41K;1,30%
11.04.2017;26,85;26,1;26,85;26,1;476,38K;3,07%
10.04.2017;26,05;26,3;26,55;25,65;484,76K;-0,57%
07.04.2017;26,2;26,7;26,7;26,15;454,63K;-1,87%
06.04.2017;26,7;26,5;26,9;26,4;414,02K;0,75%
05.04.2017;26,5;26,8;26,8;26,4;349,25K;-1,49%
04.04.2017;26,9;26,85;27;26,5;635,47K;0,19%
03.04.2017;26,85;26,9;26,95;26,5;325,56K;0,75%
31.03.2017;26,65;26,7;26,95;26,5;514,78K;0,95%
30.03.2017;26,4;26,8;27;26,4;488,64K;-1,86%
29.03.2017;26,9;26,25;26,95;26,25;876,39K;2,87%
28.03.2017;26,15;25,85;26,2;25,5;673,69K;1,75%
27.03.2017;25,7;26;26;25;244,55K;0,59%
23.03.2017;25,55;25,8;26;25,5;139,79K;-0,58%
22.03.2017;25,7;25,25;25,9;25,25;132,01K;1,18%
21.03.2017;25,4;25,6;25,8;25,4;277,87K;-0,78%
20.03.2017;25,6;25,2;26;25,2;57,16K;1,19%
17.03.2017;25,3;25;25,5;24,65;314,73K;-0,78%
16.03.2017;25,5;25,5;25,9;24,9;215,76K;1,19%
15.03.2017;25,2;25,85;25,85;24,8;288,65K;1,20%
14.03.2017;24,9;25,55;25,7;24,9;83,35K;-2,16%
13.03.2017;25,45;25,05;25,8;25;125,41K;3,88%
10.03.2017;24,5;24,8;25;24,35;222,99K;0,41%
09.03.2017;24,4;24,8;25,3;24,4;422,11K;-1,61%
08.03.2017;24,8;25,3;25,3;24,4;333,15K;-2,36%
