Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion
26.07.2017;46;44;46;43,5;84,86K;2,22%
25.07.2017;45;45,45;45,45;43,7;77,51K;-0,99%
24.07.2017;45,45;45,7;46;44,5;39,79K;-0,66%
21.07.2017;45,75;45,2;45,9;45;62,13K;0,88%
20.07.2017;45,35;47;47;44,5;28,61K;-0,87%
19.07.2017;45,75;44,05;46;43;59,62K;3,51%
18.07.2017;44,2;44,5;44,5;42,75;103,68K;-0,90%
17.07.2017;44,6;45,6;45,6;44,5;142,64K;-3,15%
14.07.2017;46,05;46,5;46,7;46,05;51,28K;-0,97%
13.07.2017;46,5;46,1;46,5;45;21,06K;0,87%
12.07.2017;46,1;46;46,3;45,2;99,31K;0,66%
11.07.2017;45,8;46;47;45;46,88K;-0,43%
10.07.2017;46;46,75;47,1;46;126,14K;-1,60%
07.07.2017;46,75;47;47;46;178,90K;-1,99%
06.07.2017;47,7;49,7;49,7;46,35;102,79K;-2,15%
05.07.2017;48,75;47,95;48,85;46,7;63,26K;1,77%
04.07.2017;47,9;48,3;48,5;47,55;35,49K;-1,03%
03.07.2017;48,4;49;49;47,5;82,49K;-1,43%
30.06.2017;49,1;48,6;49,1;46,55;234,22K;1,03%
29.06.2017;48,6;46;49;45;92,11K;5,65%
28.06.2017;46;45,7;46,5;44,7;27,54K;0,66%
27.06.2017;45,7;45,5;46;44,6;64,19K;0,44%
26.06.2017;45,5;46;46;44,5;44,56K;1,11%
23.06.2017;45;44,4;45,4;43;103,68K;1,69%
22.06.2017;44,25;42,2;44,25;42,2;161,66K;3,87%
21.06.2017;42,6;41,8;42,6;40;328,43K;-3,73%
19.06.2017;44,25;44,5;46,5;44,25;95,63K;0,57%
16.06.2017;44;43,3;45,35;43,2;42,06K;1,62%
15.06.2017;43,3;44,2;45;43,1;122,73K;-3,78%
14.06.2017;45;47,5;47,5;45;396,48K;-4,05%
13.06.2017;46,9;45,9;47;45,9;23,89K;1,74%
12.06.2017;46,1;48,4;48,4;45,05;215,19K;-3,96%
09.06.2017;48;48,5;48,7;47,6;69,24K;0,00%
08.06.2017;48;49;49;47,25;84,64K;-1,44%
07.06.2017;48,7;48,5;48,7;48;53,31K;0,41%
06.06.2017;48,5;48;48,7;47,6;82,77K;1,04%
05.06.2017;48;48,9;48,95;48;88,55K;-1,84%
02.06.2017;48,9;48,4;48,95;48;63,24K;1,03%
01.06.2017;48,4;48,35;48,9;48,3;104,48K;0,10%
31.05.2017;48,35;48,3;48,8;46,5;126,65K;0,62%
30.05.2017;48,05;47,55;49,1;47,55;682,85K;1,80%
29.05.2017;47,2;45,3;47,4;45,3;384,03K;4,42%
26.05.2017;45,2;44,95;45,5;44,1;185,85K;3,20%
24.05.2017;43,8;43;44,3;42,5;238,43K;3,06%
23.05.2017;42,5;42;42,85;41,5;130,13K;2,16%
22.05.2017;41,6;42,7;42,7;41,55;28,17K;-2,35%
19.05.2017;42,6;42;42,75;41,95;47,32K;2,65%
18.05.2017;41,5;42,5;42,5;41,2;105,95K;-3,49%
17.05.2017;43;42,5;43,4;42,1;104,90K;1,18%
16.05.2017;42,5;42,6;42,75;42,15;49,98K;-0,35%
15.05.2017;42,65;42,7;42,75;42,05;65,16K;-0,12%
12.05.2017;42,7;42,8;42,95;42;55,50K;-0,23%
11.05.2017;42,8;42,55;43;42,5;48,59K;0,59%
10.05.2017;42,55;42,5;43,25;42,3;72,36K;-0,35%
09.05.2017;42,7;42,8;42,95;42;69,75K;1,67%
08.05.2017;42;43,05;43,5;42;48,79K;-1,75%
05.05.2017;42,75;43;43,8;42,35;42,20K;-0,70%
04.05.2017;43,05;43,95;44;42,45;95,66K;-2,16%
03.05.2017;44;44,2;44,45;43,5;46,94K;0,00%
02.05.2017;44;44;44,2;43,5;171,43K;-0,23%
28.04.2017;44,1;43,7;44,1;43,6;69,46K;0,68%
27.04.2017;43,8;43,9;43,9;42,2;57,31K;-0,23%
26.04.2017;43,9;43,95;44;43;54,69K;0,23%
25.04.2017;43,8;44;44,6;43,1;84,24K;1,86%
24.04.2017;43;42,85;43,3;42,7;80,85K;0,35%
21.04.2017;42,85;43;43;42,5;51,33K;0,59%
20.04.2017;42,6;42,45;42,6;41,4;47,77K;0,35%
19.04.2017;42,45;42;42,9;41;42,10K;1,31%
18.04.2017;41,9;42,9;43;41,5;69,56K;-2,67%
17.04.2017;43,05;43,5;44,3;42,5;91,48K;-2,05%
12.04.2017;43,95;45;45;42,3;114,67K;-1,68%
11.04.2017;44,7;44,1;45;43;164,05K;1,94%
10.04.2017;43,85;41;43,85;40,2;127,34K;6,95%
07.04.2017;41;42,3;42,4;41;88,41K;-3,30%
06.04.2017;42,4;41,6;43,7;41,3;108,50K;0,00%
05.04.2017;42,4;43;44;42,4;347,60K;0,00%
04.04.2017;42,4;39,5;42,4;39,4;437,27K;7,48%
03.04.2017;39,45;38,1;39,5;38,1;292,53K;6,77%
31.03.2017;36,95;38,4;39,1;36,9;153,39K;-2,76%
30.03.2017;38;36,8;38,95;36,8;161,52K;2,70%
29.03.2017;37;37,2;37,2;36,5;102,29K;0,41%
28.03.2017;36,85;36,5;36,9;35,85;104,01K;0,96%
27.03.2017;36,5;36,15;36,6;36;50,25K;0,69%
23.03.2017;36,25;36,5;36,9;36;49,78K;0,14%
22.03.2017;36,2;36,9;36,9;36;31,77K;-0,69%
21.03.2017;36,45;36,65;36,95;36,15;30,42K;-0,68%
20.03.2017;36,7;36,25;37,2;36,2;53,20K;1,24%
17.03.2017;36,25;36,55;36,8;36,25;35,25K;-0,68%
16.03.2017;36,5;36,2;37,3;36,05;99,41K;-0,54%
15.03.2017;36,7;36,4;37;36,35;52,67K;-0,27%
14.03.2017;36,8;37,25;37,25;36,5;26,62K;-1,34%
13.03.2017;37,3;37,1;37,75;36,75;23,87K;-0,53%
10.03.2017;37,5;37,45;37,5;36,75;51,22K;1,63%
09.03.2017;36,9;36,9;37,5;36,2;69,28K;-0,27%
08.03.2017;37;37,4;37,4;36,7;27,80K;-1,07%
07.03.2017;37,4;37,8;37,8;36,75;64,29K;-1,19%
06.03.2017;37,85;37,95;37,95;36,8;76,23K;0,93%
03.03.2017;37,5;38,55;38,95;37,1;60,71K;-2,72%
02.03.2017;38,55;36,65;38,85;36,65;278,33K;5,18%
01.03.2017;36,65;36,65;36,7;36;50,09K;0,00%
24.02.2017;36,65;37,7;37,7;36;55,00K;-2,01%
23.02.2017;37,4;37,8;37,95;36,55;55,37K;-1,06%
22.02.2017;37,8;37,85;37,85;37,4;50,00K;0,13%
21.02.2017;37,75;37,2;37,75;36,8;46,35K;0,67%
20.02.2017;37,5;37,25;37,5;36,8;58,94K;0,67%
17.02.2017;37,25;38;38;37,05;76,37K;-1,97%
16.02.2017;38;38;38;36,75;90,47K;1,06%
15.02.2017;37,6;37,5;38;36,7;42,53K;0,27%
14.02.2017;37,5;37;37,5;36,3;47,20K;0,54%
13.02.2017;37,3;36,8;37,3;36,4;51,36K;1,36%
10.02.2017;36,8;38;38;36,7;139,71K;-3,03%
09.02.2017;37,95;37,5;38;37,15;70,61K;0,93%
08.02.2017;37,6;38;38,2;37,2;67,50K;-0,27%
07.02.2017;37,7;38,3;38,5;37,1;44,78K;-1,44%
06.02.2017;38,25;38;38,3;37,9;64,32K;2,00%
03.02.2017;37,5;38,1;38,15;37,5;51,00K;-0,27%
02.02.2017;37,6;37,75;38,4;36,7;76,79K;0,80%
01.02.2017;37,3;37,6;37,9;36,4;76,73K;-0,67%
31.01.2017;37,55;38;38,3;37,3;121,48K;0,40%
30.01.2017;37,4;38,45;38,45;37;71,29K;-2,35%
27.01.2017;38,3;38;38,5;37,95;36,43K;-1,03%
26.01.2017;38,7;38,7;39,4;38,7;83,23K;0,00%
25.01.2017;38,7;38;38,7;37,6;116,21K;0,52%
24.01.2017;38,5;38,7;39;38,4;183,54K;-0,77%
23.01.2017;38,8;38,5;38,95;37,75;156,11K;2,78%
20.01.2017;37,75;36;37,75;36;49,14K;4,57%
19.01.2017;36,1;36,4;36,4;35,05;101,13K;-0,96%
18.01.2017;36,45;36,7;37,15;36;80,92K;-0,82%
17.01.2017;36,75;38;38;36,75;96,36K;-3,03%
16.01.2017;37,9;37,75;38,2;37,2;107,68K;0,40%
13.01.2017;37,75;36,1;37,8;36,1;120,44K;4,57%
12.01.2017;36,1;36;36,5;35,05;121,45K;-0,28%
11.01.2017;36,2;37,9;38,5;36;272,90K;-4,74%
10.01.2017;38;38,4;39,5;37,15;227,87K;-2,56%
09.01.2017;39;38,3;39,25;37,8;213,45K;1,83%
06.01.2017;38,3;38,2;38,5;37,7;210,07K;-1,03%
05.01.2017;38,7;38,3;39,4;36,1;593,02K;1,04%
04.01.2017;38,3;37;38,3;37;327,87K;3,51%
03.01.2017;37;36,4;37,35;35,3;491,66K;1,65%
02.01.2017;36,4;34,7;36,5;34;222,43K;4,90%
29.12.2016;34,7;34,5;35,5;33,55;358,95K;0,58%
28.12.2016;34,5;33,35;34,5;33;449,18K;2,99%
27.12.2016;33,5;30;33,9;30;168,57K;8,06%
26.12.2016;31;31,8;31,8;30,3;49,71K;-2,52%
23.12.2016;31,8;32;32;31;56,77K;-0,31%
22.12.2016;31,9;31;32,4;30,8;75,90K;2,90%
21.12.2016;31;29,8;32,4;29,8;79,33K;4,55%
20.12.2016;29,65;30,25;30,8;29,5;42,25K;-1,50%
