Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion
26.07.2017;331,95;332,25;333,5;328;5,71K;-0,45%
25.07.2017;333,45;335;337;331;7,95K;-1,32%
24.07.2017;337,9;344;344;336,05;3,75K;-1,77%
21.07.2017;344;340;345,1;340;9,90K;0,67%
20.07.2017;341,7;347;347;338;5,93K;0,50%
19.07.2017;340;345;345;337;9,53K;0,00%
18.07.2017;340;338;343;333,9;10,82K;0,44%
17.07.2017;338,5;358;358;338;16,13K;-5,31%
14.07.2017;357,5;346;359,8;346;53,16K;3,35%
13.07.2017;345,9;346,8;349,5;342;14,65K;-0,26%
12.07.2017;346,8;350;350;344,2;13,33K;0,39%
11.07.2017;345,45;345;345,7;342,05;19,64K;0,99%
10.07.2017;342,05;338;345;330,55;8,99K;1,06%
07.07.2017;338,45;342,75;342,75;334;5,95K;-1,30%
06.07.2017;342,9;347;347;339;4,33K;-0,90%
05.07.2017;346;350;352,95;345,25;12,72K;-0,29%
04.07.2017;347;348,8;350,35;345;6,86K;0,00%
03.07.2017;347;347;357;340;16,98K;-0,29%
30.06.2017;348;348;348;340;15,16K;0,58%
29.06.2017;346;350,45;358,5;343;12,25K;-1,14%
28.06.2017;350;360;365;346;9,11K;-1,96%
27.06.2017;357;350;359;350;29,86K;2,38%
26.06.2017;348,7;341;350;341;55,73K;4,67%
23.06.2017;333,15;340;343;330;18,96K;2,16%
22.06.2017;326,1;317;345;317;28,81K;3,13%
21.06.2017;316,2;311;330;311;25,40K;-5,61%
19.06.2017;335;336;344;331,05;7,68K;-0,71%
16.06.2017;337,4;341;342,9;336,45;10,19K;-0,18%
15.06.2017;338;333;344;329;20,42K;1,35%
14.06.2017;333,5;346;354,95;332;17,44K;-3,43%
13.06.2017;345,35;335;350;334;10,46K;3,40%
12.06.2017;334;350;352;332;11,18K;-5,54%
09.06.2017;353,6;365;366;350,35;8,36K;-2,05%
08.06.2017;361;359,85;368,95;355;37,67K;1,63%
07.06.2017;355,2;353;364;346;47,20K;1,49%
06.06.2017;350;329,95;350;327;36,63K;5,50%
05.06.2017;331,75;340,25;340,25;330;14,03K;-2,50%
02.06.2017;340,25;345;345;338,6;5,77K;-1,69%
01.06.2017;346,1;350;355;341,4;18,00K;0,17%
