Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion
26.07.2017;5,14;5,1;5,14;5,05;37,15K;1,78%
25.07.2017;5,05;5;5,25;5;92,33K;-3,81%
24.07.2017;5,25;5,3;5,5;5,25;25,95K;-2,78%
21.07.2017;5,4;5,3;5,4;5,3;20,02K;0,00%
20.07.2017;5,4;5,38;5,48;5,38;6,72K;-1,64%
19.07.2017;5,49;5,53;5,53;5,15;101,48K;-0,72%
18.07.2017;5,53;5,7;5,7;5,5;18,63K;-4,33%
17.07.2017;5,78;5,73;5,87;5,7;42,61K;1,40%
14.07.2017;5,7;5,7;5,85;5,6;122,67K;3,07%
13.07.2017;5,53;5,19;5,55;5,19;267,58K;6,55%
12.07.2017;5,19;5;5,2;5;81,78K;5,92%
11.07.2017;4,9;5,1;5,15;4,9;163,00K;-7,55%
10.07.2017;5,3;5,6;5,6;5,12;152,57K;-5,36%
07.07.2017;5,6;5,25;6,1;4,5;332,38K;-9,68%
02.06.2017;6,2;4,8;8,5;4,8;2,54M;33,62%
01.06.2017;4,64;4,32;4,64;4,32;26,74K;8,67%
31.05.2017;4,27;4,34;4,34;4;207,80K;-1,84%
30.05.2017;4,35;4,6;4,6;4,3;112,81K;-6,45%
29.05.2017;4,65;4,71;4,85;4,48;168,22K;-3,33%
26.05.2017;4,81;5;5;4,76;42,74K;-3,41%
24.05.2017;4,98;4,95;5;4,9;48,71K;-0,40%
23.05.2017;5;5;5,1;4,65;50,37K;0,00%
22.05.2017;5;5,18;5,18;5;42,58K;-3,66%
19.05.2017;5,19;5,17;5,2;5,17;24,07K;0,39%
18.05.2017;5,17;5,2;5,2;5,05;40,65K;-3,36%
17.05.2017;5,35;5,5;5,5;5,35;38,05K;-0,93%
16.05.2017;5,4;5,55;5,7;5,3;56,16K;-2,70%
15.05.2017;5,55;5,35;5,55;5,31;40,48K;-0,89%
12.05.2017;5,6;5,7;5,7;5,4;95,15K;-1,75%
11.05.2017;5,7;5,8;5,85;5,7;16,23K;-1,72%
10.05.2017;5,8;5,65;6;5,65;19,86K;0,87%
09.05.2017;5,75;6;6;5,75;66,08K;-3,52%
08.05.2017;5,96;6,11;6,25;5,95;32,05K;-2,45%
05.05.2017;6,11;6,3;6,35;6,08;32,14K;-3,78%
04.05.2017;6,35;6,4;6,4;6,35;8,81K;0,79%
03.05.2017;6,3;6,3;6,55;6,3;29,46K;-1,56%
02.05.2017;6,4;6,5;6,5;6,38;67,12K;-2,29%
28.04.2017;6,55;6,69;6,69;6,55;21,77K;-2,09%
27.04.2017;6,69;6,5;6,75;6,5;15,86K;-0,89%
26.04.2017;6,75;6,75;6,75;6,5;17,52K;-0,74%
25.04.2017;6,8;6,73;7,03;6,6;41,95K;1,04%
24.04.2017;6,73;6,8;6,8;6,7;14,50K;-1,32%
21.04.2017;6,82;6,9;6,9;6,46;90,77K;6,56%
20.04.2017;6,4;6,63;6,63;6,38;31,85K;-3,47%
19.04.2017;6,63;6,35;6,65;6,35;29,98K;0,45%
18.04.2017;6,6;6,35;6,63;6,35;25,07K;-0,60%
17.04.2017;6,64;6,3;6,9;6,3;37,25K;-0,15%
12.04.2017;6,65;6,58;6,65;6,5;12,45K;1,06%
11.04.2017;6,58;6,6;6,6;6,5;36,91K;-0,45%
10.04.2017;6,61;6,71;6,79;6,61;35,23K;-2,79%
07.04.2017;6,8;6,85;6,9;6,75;31,93K;-2,86%
