Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion
26.07.2017;10,1;10;10,15;9,99;416,81K;0,50%
25.07.2017;10,05;10;10,15;9,95;1,06M;0,60%
24.07.2017;9,99;10,15;10,3;9,9;863,69K;-1,58%
21.07.2017;10,15;10,45;10,45;10,1;484,68K;-1,46%
20.07.2017;10,3;10,5;10,6;10,15;809,47K;-0,96%
19.07.2017;10,4;10,25;10,55;10,25;577,67K;1,46%
18.07.2017;10,25;10,45;10,6;10,2;637,08K;-2,38%
17.07.2017;10,5;10,95;10,95;10,4;535,17K;-3,23%
14.07.2017;10,85;10,8;10,85;10,6;495,81K;0,46%
13.07.2017;10,8;10,85;10,9;10,7;399,41K;-1,82%
12.07.2017;11;10,7;11;10,7;1,15M;1,85%
11.07.2017;10,8;10,6;10,8;10,5;719,15K;2,37%
10.07.2017;10,55;10,8;10,95;10,5;610,43K;-2,31%
07.07.2017;10,8;10,95;10,95;10,65;402,33K;-0,92%
06.07.2017;10,9;10,7;11;10,7;1,18M;0,93%
05.07.2017;10,8;10,75;11;10,7;1,68M;0,00%
04.07.2017;10,8;10,65;10,85;10,65;714,27K;1,41%
03.07.2017;10,65;10,6;10,85;10,5;1,81M;0,47%
30.06.2017;10,6;10,55;10,6;10,45;1,75M;0,95%
29.06.2017;10,5;10,45;10,6;10,45;444,80K;0,48%
28.06.2017;10,45;10,75;10,75;10,35;3,51M;-2,79%
27.06.2017;10,75;10,75;10,8;10,55;899,43K;-0,46%
26.06.2017;10,8;10,55;10,8;10,55;483,55K;1,89%
23.06.2017;10,6;10,7;10,8;10,45;439,17K;0,00%
22.06.2017;10,6;10,65;11;10,6;561,76K;-1,40%
21.06.2017;10,75;10,55;10,85;10,25;1,71M;-4,44%
19.06.2017;11,25;11,1;11,25;10,7;1,02M;2,27%
16.06.2017;11;10,75;11;10,7;981,90K;2,33%
15.06.2017;10,75;11;11;10,6;885,10K;-0,92%
14.06.2017;10,85;11;11,15;10,8;599,29K;-0,91%
13.06.2017;10,95;10,85;11,1;10,8;666,89K;1,86%
12.06.2017;10,75;10,9;11,1;10,65;965,48K;-3,15%
09.06.2017;11,1;11,3;11,45;11,1;548,99K;-1,77%
08.06.2017;11,3;11,6;11,6;11,3;325,76K;-2,16%
07.06.2017;11,55;11,45;11,65;11,35;744,86K;-0,43%
06.06.2017;11,6;11,3;11,6;11,15;1,08M;3,57%
05.06.2017;11,2;11,45;11,45;11;839,34K;-1,75%
02.06.2017;11,4;11,45;11,6;11,3;846,44K;-0,44%
01.06.2017;11,45;11,6;11,75;11,4;1,21M;-1,29%
31.05.2017;11,6;11,8;11,85;11,55;886,39K;-2,11%
30.05.2017;11,85;11,55;11,85;11,45;1,11M;2,60%
29.05.2017;11,55;11,3;11,75;11,3;1,35M;1,32%
26.05.2017;11,4;11,45;11,6;11,25;1,03M;-0,44%
24.05.2017;11,45;11,6;11,6;11,3;512,18K;-1,29%
23.05.2017;11,6;11,4;11,6;11,25;913,83K;1,75%
22.05.2017;11,4;11,35;11,45;11,1;867,05K;0,44%
19.05.2017;11,35;11,1;11,35;11,05;868,69K;2,71%
18.05.2017;11,05;11,2;11,2;10,8;1,67M;-3,49%
17.05.2017;11,45;11,5;11,5;11,35;1,59M;-0,43%
16.05.2017;11,5;11,45;11,55;11,35;1,09M;0,44%
15.05.2017;11,45;11,4;11,5;11,3;462,62K;0,44%
12.05.2017;11,4;11,5;11,55;11,3;976,47K;-0,87%
11.05.2017;11,5;11,6;11,7;11,4;424,64K;-0,86%
10.05.2017;11,6;11,55;11,7;11,55;721,62K;0,00%
09.05.2017;11,6;11,55;11,6;11,5;517,27K;0,00%
08.05.2017;11,6;11,65;11,65;11,55;574,34K;-1,28%
05.05.2017;11,75;11,8;11,8;11,6;626,77K;-0,42%
04.05.2017;11,8;11,85;11,95;11,6;1,06M;-0,84%
03.05.2017;11,9;11,8;11,95;11,7;1,92M;0,85%
02.05.2017;11,8;11,8;11,95;11,6;1,39M;1,29%
28.04.2017;11,65;11,55;11,9;11,35;2,16M;1,75%
27.04.2017;11,45;11,4;11,45;10,9;3,29M;2,23%
26.04.2017;11,2;11,4;11,65;11,15;3,61M;1,82%
25.04.2017;11;10,85;11,05;10,8;1,41M;1,38%
24.04.2017;10,85;10,85;10,95;10,6;2,54M;1,40%
21.04.2017;10,7;10,75;10,85;10,6;917,43K;-0,47%
20.04.2017;10,75;10,75;10,85;10,5;1,14M;0,47%
19.04.2017;10,7;10,95;11,05;10,65;747,35K;-2,28%
18.04.2017;10,95;10,95;11,05;10,7;768,40K;-1,35%
17.04.2017;11,1;11,35;11,5;11;1,06M;-3,06%
12.04.2017;11,45;11,5;11,6;11,2;1,50M;-0,43%
11.04.2017;11,5;11,4;11,6;11,35;1,81M;2,22%
10.04.2017;11,25;11,1;11,3;11;1,83M;1,35%
07.04.2017;11,1;11,2;11,2;10,95;908,35K;-0,45%
06.04.2017;11,15;11,1;11,15;10,9;2,12M;1,36%
05.04.2017;11;11;11,2;10,9;2,16M;0,92%
04.04.2017;10,9;10,7;10,9;10,65;851,19K;1,40%
03.04.2017;10,75;10,75;10,85;10,6;3,00M;0,47%
31.03.2017;10,7;10,5;10,7;10,3;1,48M;2,88%
30.03.2017;10,4;10,75;10,75;10,35;630,45K;-1,89%
29.03.2017;10,6;10,4;10,7;10,4;1,07M;1,44%
28.03.2017;10,45;10,55;10,6;10,35;1,19M;-0,95%
