Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion
26.07.2017;278;279,5;282;278;56,67K;-0,18%
25.07.2017;278,5;275,1;280,5;275,1;57,63K;1,27%
24.07.2017;275;275;278;273,05;61,76K;0,00%
21.07.2017;275;277;278,4;274,6;40,79K;-0,90%
20.07.2017;277,5;282,5;283;277,5;42,90K;-1,77%
19.07.2017;282,5;275,1;284,75;275,1;51,53K;1,69%
18.07.2017;277,8;276,1;278;274;62,52K;0,65%
17.07.2017;276;275,25;278;274;39,22K;0,27%
14.07.2017;275,25;275;277;273,5;75,59K;0,09%
13.07.2017;275;269,95;275,5;267;42,47K;1,76%
12.07.2017;270,25;270;273;269;39,05K;1,22%
11.07.2017;267;262,95;270;262;34,47K;1,54%
10.07.2017;262,95;262;264,8;258,05;64,76K;0,59%
07.07.2017;261,4;264,95;264,95;257;89,15K;-1,73%
06.07.2017;266;266;273,5;264;102,41K;0,00%
05.07.2017;266;262;269,9;262;116,72K;1,53%
04.07.2017;262;265;266,5;261,05;19,44K;-0,30%
03.07.2017;262,8;258,5;266,7;257,05;75,86K;1,66%
30.06.2017;258,5;256,9;260;256,55;60,99K;0,62%
29.06.2017;256,9;251,4;257,95;251,4;34,70K;2,25%
28.06.2017;251,25;244,5;252,5;244,5;44,16K;2,76%
27.06.2017;244,5;244;250;244;53,01K;0,62%
26.06.2017;243;242;243,55;240,05;54,91K;0,21%
23.06.2017;242,5;243;243;240;28,88K;0,00%
22.06.2017;242,5;245,5;245,5;240,5;42,20K;-0,82%
21.06.2017;244,5;243;249;240,8;66,38K;-2,20%
19.06.2017;250;249;251,5;248,5;30,31K;0,40%
16.06.2017;249;243,5;249;243,15;33,06K;2,26%
15.06.2017;243,5;244;244,85;242,6;17,81K;-0,20%
14.06.2017;244;250;250;241,95;23,11K;-2,01%
13.06.2017;249;245,35;250;245,35;38,76K;1,53%
12.06.2017;245,25;247,5;250;244,5;14,35K;-1,11%
