Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion
26.07.2017;36,7;37,7;37,9;35,1;246,75K;-0,81%
25.07.2017;37;38,5;38,5;37;193,91K;-2,63%
24.07.2017;38;40,2;40,2;37,5;149,93K;-4,76%
21.07.2017;39,9;39,8;40;38,5;203,15K;1,01%
20.07.2017;39,5;39;40;39;223,92K;2,20%
19.07.2017;38,65;37,1;39;37,1;384,31K;4,32%
18.07.2017;37,05;39;39;36,2;447,94K;-5,48%
17.07.2017;39,2;40,4;40,4;37;460,67K;-2,73%
14.07.2017;40,3;40;40,7;39;587,19K;-0,25%
13.07.2017;40,4;41,4;41,75;39;330,39K;-2,53%
12.07.2017;41,45;42,25;43,9;40,6;207,37K;-1,89%
11.07.2017;42,25;42,9;42,9;40,2;502,44K;-1,52%
10.07.2017;42,9;43,2;44,5;42;204,80K;-0,69%
07.07.2017;43,2;43,7;43,7;42,1;180,36K;-0,69%
06.07.2017;43,5;44,6;44,6;42,1;312,26K;-1,14%
05.07.2017;44;43,05;44,45;43;527,24K;2,33%
04.07.2017;43;41,6;43,05;41,3;881,48K;4,12%
03.07.2017;41,3;41;41,6;39;257,58K;2,99%
30.06.2017;40,1;38,7;40,6;38,45;840,89K;4,97%
29.06.2017;38,2;38,4;39,9;37,55;605,91K;0,13%
28.06.2017;38,15;36,5;38,2;36,2;480,58K;5,97%
27.06.2017;36;35,65;36,35;35,65;387,14K;1,55%
26.06.2017;35,45;34,6;35,8;33,55;238,97K;3,50%
23.06.2017;34,25;34;34,25;33;279,03K;1,63%
22.06.2017;33,7;32,9;34,5;32,9;179,62K;1,20%
21.06.2017;33,3;32,5;33,35;31,5;562,77K;-4,72%
19.06.2017;34,95;32,5;35;32,3;292,22K;6,39%
16.06.2017;32,85;32,7;33,95;32;138,58K;0,31%
15.06.2017;32,75;32,35;32,95;31,6;145,95K;1,08%
14.06.2017;32,4;31,5;33,7;31,5;955,26K;2,86%
13.06.2017;31,5;31,8;33;31,5;129,47K;-1,56%
12.06.2017;32;33,3;33,3;31,75;130,11K;-3,61%
09.06.2017;33,2;34;34;32,4;583,84K;-1,48%
08.06.2017;33,7;34;34,1;33,5;281,22K;-0,59%
07.06.2017;33,9;33,7;34;33,25;275,71K;1,04%
06.06.2017;33,55;32,15;34;32,1;320,04K;-0,59%
05.06.2017;33,75;34;34,8;32,35;775,91K;-1,03%
02.06.2017;34,1;34,8;35;34;432,74K;-1,73%
01.06.2017;34,7;33,45;34,95;32,85;930,56K;4,20%
31.05.2017;33,3;31,8;33,6;31,8;1,16M;6,39%
30.05.2017;31,3;30,5;31,3;30,3;1,77M;3,99%
29.05.2017;30,1;29;30,5;29;799,84K;5,61%
26.05.2017;28,5;28;29;27,85;471,51K;3,26%
24.05.2017;27,6;27;27,7;26,15;495,11K;4,15%
23.05.2017;26,5;27;27;26;188,23K;0,38%
22.05.2017;26,4;26,5;27;26,25;127,97K;0,00%
19.05.2017;26,4;25,9;26,95;25,9;184,44K;2,72%
18.05.2017;25,7;25,7;26,25;24,7;112,95K;-2,28%
17.05.2017;26,3;27,15;27,4;26,3;78,37K;-2,95%
16.05.2017;27,1;27,1;27,35;26,6;173,82K;1,12%
15.05.2017;26,8;26,4;27,35;26;190,76K;1,32%
12.05.2017;26,45;26,9;26,9;26,25;129,42K;0,95%
11.05.2017;26,2;25,8;26,4;25,8;97,07K;1,95%
10.05.2017;25,7;26,55;26,7;25,7;1,07M;-1,15%
09.05.2017;26;26,5;27,3;26;300,29K;0,39%
08.05.2017;25,9;26,4;27,5;25,9;146,81K;-0,38%
05.05.2017;26;26,5;26,7;25,75;207,93K;-2,26%
04.05.2017;26,6;27,2;27,25;26,6;1,03M;-2,21%
03.05.2017;27,2;27,35;27,5;26,8;125,42K;-0,55%
02.05.2017;27,35;27,5;27,7;26,5;893,76K;-0,73%
28.04.2017;27,55;27,55;27,6;26,9;433,52K;0,18%
27.04.2017;27,5;28;28;27,2;506,93K;-0,72%
26.04.2017;27,7;27,6;28;27,3;561,69K;0,73%
25.04.2017;27,5;27,5;28,3;27,45;430,23K;0,18%
24.04.2017;27,45;27,5;27,9;27;177,27K;0,55%
21.04.2017;27,3;26,9;27,95;26,9;313,56K;1,49%
20.04.2017;26,9;27,7;27,7;26,8;252,83K;-3,41%
19.04.2017;27,85;28,2;28,5;27,7;58,02K;-1,24%
