Fecha;Ultimo;Apertura;Maximo;Minimo;Volumen;Variacion
26.07.2017;24;24,75;24,95;23,95;596,74K;-3,03%
25.07.2017;24,75;25,4;25,5;24,3;571,95K;-2,56%
24.07.2017;25,4;26,5;27;25,2;515,68K;-4,87%
21.07.2017;26,7;27,4;27,95;26,5;369,16K;-2,73%
20.07.2017;27,45;27,5;27,7;27;205,43K;1,29%
19.07.2017;27,1;26,25;27,15;26;392,75K;3,44%
18.07.2017;26,2;26,2;26,2;25;790,63K;-1,13%
17.07.2017;26,5;27,6;27,6;25,75;593,39K;-3,99%
14.07.2017;27,6;28,5;29,25;27,3;372,38K;-2,47%
13.07.2017;28,3;29,15;29,5;28,05;556,81K;-2,58%
12.07.2017;29,05;29,6;30;28,8;134,86K;-1,53%
11.07.2017;29,5;30,1;30,5;29,5;344,28K;-1,67%
10.07.2017;30;29,95;30,25;29,65;157,28K;0,33%
07.07.2017;29,9;30,05;30,05;29,2;155,74K;-0,33%
06.07.2017;30;30,9;31;29,55;273,25K;-2,28%
05.07.2017;30,7;30,45;31,1;30,45;373,60K;0,82%
04.07.2017;30,45;29,3;30,45;29,15;321,95K;4,28%
03.07.2017;29,2;29,95;29,95;28,7;236,34K;1,92%
30.06.2017;28,65;28,2;29,5;28,2;808,30K;0,35%
29.06.2017;28,55;29;29;28,4;255,71K;0,53%
28.06.2017;28,4;28,35;28,75;27,9;241,43K;0,18%
27.06.2017;28,35;28,55;28,6;28,3;281,81K;-0,70%
26.06.2017;28,55;28,3;28,55;27,9;221,35K;0,88%
23.06.2017;28,3;28,5;28,5;27,95;301,35K;0,00%
22.06.2017;28,3;27,2;28,4;27,15;415,66K;4,24%
21.06.2017;27,15;26,7;27,4;26,7;878,71K;-6,22%
19.06.2017;28,95;28,5;29;28,5;527,43K;2,66%
16.06.2017;28,2;27,2;28,2;27,2;235,81K;4,44%
15.06.2017;27;27;27,3;26,3;212,18K;0,56%
14.06.2017;26,85;27;27,75;26,85;211,38K;0,19%
13.06.2017;26,8;26,15;26,85;25,9;493,92K;3,08%
12.06.2017;26;28;28;25,9;443,62K;-6,14%
09.06.2017;27,7;28,85;28,85;27,35;298,54K;-2,64%
08.06.2017;28,45;29;29;28,3;212,41K;-0,87%
07.06.2017;28,7;28,5;28,9;28;245,34K;1,23%
06.06.2017;28,35;26,65;29,1;26,65;378,45K;-2,58%
05.06.2017;29,1;28,4;29,1;28;273,29K;2,46%
02.06.2017;28,4;28,2;28,8;27,9;540,05K;2,34%
01.06.2017;27,75;28;28,1;27,7;522,02K;0,54%
31.05.2017;27,6;27,55;28,7;27,5;1,61M;1,10%
30.05.2017;27,3;26,5;27,4;26,05;422,84K;2,63%
29.05.2017;26,6;26,9;28;26,6;516,08K;0,38%
26.05.2017;26,5;25,95;27;25,95;530,99K;2,32%
24.05.2017;25,9;25,5;26,3;25,5;346,14K;0,00%
23.05.2017;25,9;26,5;26,5;25,5;346,57K;-0,38%
22.05.2017;26;26,5;27;25,9;193,17K;-2,80%
19.05.2017;26,75;25,95;27;25,95;368,79K;2,10%
18.05.2017;26,2;25,8;26,25;24,8;923,30K;0,38%
17.05.2017;26,1;26;26,1;25,5;486,37K;0,58%
16.05.2017;25,95;25,95;26;25,65;384,68K;0,97%
15.05.2017;25,7;25,5;25,95;25,45;670,31K;1,78%
12.05.2017;25,25;25,75;25,8;24,8;456,26K;0,60%
11.05.2017;25,1;25;25,9;24,7;511,99K;2,45%
10.05.2017;24,5;24,4;24,5;23,6;445,48K;2,94%
09.05.2017;23,8;23,55;24,5;23,25;262,63K;0,00%
08.05.2017;23,8;24,5;24,8;23,8;226,07K;-0,83%
05.05.2017;24;24,4;24,4;23,85;358,39K;-1,64%
04.05.2017;24,4;24,45;24,6;24,05;211,18K;-1,61%
03.05.2017;24,8;25,35;25,45;24,55;353,63K;-2,36%
02.05.2017;25,4;25,5;26,2;25;179,48K;-0,39%
28.04.2017;25,5;25,35;25,7;25,2;107,32K;0,00%
27.04.2017;25,5;25,6;25,7;24,8;367,58K;-0,39%
26.04.2017;25,6;26,2;26,2;25,3;174,29K;-2,29%
25.04.2017;26,2;26;26,5;25,5;306,20K;2,75%
24.04.2017;25,5;23,7;25,5;23,7;703,07K;6,25%
21.04.2017;24;23,6;24,2;23,6;143,83K;-0,41%
20.04.2017;24,1;24,5;24,5;24;196,62K;0,21%
19.04.2017;24,05;24;24,6;24;261,78K;-0,41%
18.04.2017;24,15;24,2;24,3;24;175,64K;-0,41%
17.04.2017;24,25;24,7;24,7;24;175,45K;-1,82%
12.04.2017;24,7;24,5;24,75;23,9;501,13K;1,65%
11.04.2017;24,3;24,35;24,5;24;298,25K;0,83%
10.04.2017;24,1;23,65;24,2;23,65;260,52K;1,90%
07.04.2017;23,65;24,3;24,35;23,5;278,48K;-1,66%
06.04.2017;24,05;23,8;24,15;23,8;216,33K;1,26%
05.04.2017;23,75;23,3;23,95;23,15;310,67K;2,59%
04.04.2017;23,15;23,4;23,4;23,1;355,33K;-1,07%
03.04.2017;23,4;23,75;23,9;23,1;684,85K;-1,06%
31.03.2017;23,65;24,35;24,75;23,55;883,76K;-2,67%
30.03.2017;24,3;23,6;24,3;23,3;628,60K;4,29%
29.03.2017;23,3;22,65;23,45;22,4;1,12M;4,95%
28.03.2017;22,2;21,55;23;21,5;716,19K;3,98%
27.03.2017;21,35;21,6;21,6;21,05;144,44K;-0,23%
23.03.2017;21,4;21,65;22;21,3;160,69K;-1,15%
22.03.2017;21,65;21,2;21,65;20,9;221,79K;2,12%
21.03.2017;21,2;21,5;21,5;20,9;220,34K;-1,17%
20.03.2017;21,45;20,7;21,45;20,5;249,06K;3,62%
17.03.2017;20,7;20,6;21;20,15;236,81K;0,00%
16.03.2017;20,7;21;21;20,3;195,76K;-0,48%
15.03.2017;20,8;21;21;20,7;294,67K;-0,72%
14.03.2017;20,95;20,9;21;20,5;192,67K;0,72%
13.03.2017;20,8;20,6;20,8;20;228,16K;3,23%
10.03.2017;20,15;20,4;20,85;20;155,36K;-1,71%
09.03.2017;20,5;21;21;19;277,89K;-2,38%
08.03.2017;21;21,1;21,85;20,75;427,79K;1,69%
07.03.2017;20,65;20,65;21,5;20,5;270,18K;0,00%
06.03.2017;20,65;21,1;21,3;20,2;241,60K;-1,67%
03.03.2017;21;21,2;21,6;20,4;469,62K;-0,47%
02.03.2017;21,1;22;22,2;20;706,35K;-2,31%
01.03.2017;21,6;21,2;22,25;21;514,59K;3,35%
24.02.2017;20,9;21,35;21,35;20,1;290,15K;-2,34%
23.02.2017;21,4;22,6;22,7;21,25;601,31K;-3,17%
22.02.2017;22,1;21,4;22,1;20,8;503,46K;4,00%
21.02.2017;21,25;21,5;21,7;20,6;761,49K;1,67%
20.02.2017;20,9;19,9;21,2;19,65;844,69K;4,76%
17.02.2017;19,95;18,9;20;18,45;538,93K;6,12%
16.02.2017;18,8;18,35;18,8;17,7;426,19K;2,45%
15.02.2017;18,35;18,55;18,55;18;130,40K;-0,81%
